q1     q2   q3   q4  q5   q6   t1
-7.000252517427227872e-01  -1.499805029603602513e+00  1.999813317812136448e+00  -2.269920819833275871e+00  -1.569801593925642003e+00  -4.019851078669546496e+00  0.000000000000000000e+00
-7.000276350494480937e-01  -1.499805124391153655e+00  1.999811816015248267e+00  -2.269916542054112973e+00  -1.569830606199152712e+00  -4.019846734396596233e+00  7.902193069458007812e-02
-7.013825051522246667e-01  -1.502621310509816510e+00  2.002576453028848125e+00  -2.271526280750840954e+00  -1.576301851718042712e+00  -4.015318288990084028e+00  1.693830490112304688e-01
-7.051833079306621954e-01  -1.516540605669266739e+00  2.016240959997222859e+00  -2.278140719790288315e+00  -1.605761420664443051e+00  -3.992455706801970816e+00  2.330138683319091797e-01
-6.927597334724380218e-01  -1.539219378875831268e+00  2.038518684192597963e+00  -2.276200525007964437e+00  -1.641900489989307488e+00  -3.950403225768432947e+00  2.973999977111816406e-01
-6.722171127775249388e-01  -1.560842654799682094e+00  2.059742848074148203e+00  -2.263349000410602940e+00  -1.674127333326271838e+00  -3.907074723636095204e+00  3.494720458984375000e-01
-6.524620482818743739e-01  -1.582816838008369587e+00  2.081254771756760658e+00  -2.244974606924978744e+00  -1.707205023469995808e+00  -3.864020116148720430e+00  4.095110893249511719e-01
-6.251007863297992628e-01  -1.615082589580179473e+00  2.112716488493935785e+00  -2.214762658818563601e+00  -1.752787667568712848e+00  -3.800138411606981848e+00  4.888150691986083984e-01
-6.021278693066625110e-01  -1.645318777830457435e+00  2.142115488520897948e+00  -2.182658874676000949e+00  -1.793312341043300506e+00  -3.739751418467969213e+00  5.555369853973388672e-01
-5.846498901339618470e-01  -1.668865228028883152e+00  2.164933965745522659e+00  -2.154765673716887875e+00  -1.824254438847727755e+00  -3.691334010297556478e+00  6.180958747863769531e-01
-5.688157755136247218e-01  -1.691989053247496599e+00  2.187338305553310658e+00  -2.125716067728237846e+00  -1.853442072254530615e+00  -3.642844340632144018e+00  6.685419082641601562e-01
-5.557824241176358981e-01  -1.711139869282906290e+00  2.205839184979022871e+00  -2.100450027533538488e+00  -1.876566131677206428e+00  -3.601472237800706022e+00  7.154860496520996094e-01
-5.418650633476742584e-01  -1.729269631139008112e+00  2.223291749551610685e+00  -2.075184050415125547e+00  -1.897406390735843829e+00  -3.560320147083081199e+00  7.699968814849853516e-01
-5.264316724103990097e-01  -1.746174626420796017e+00  2.239508395077248526e+00  -2.050153139427638216e+00  -1.915575338920106674e+00  -3.519530788556343825e+00  8.161509037017822266e-01
-5.064205575537990001e-01  -1.764148779975645454e+00  2.256653005862311101e+00  -2.021855609011712573e+00  -1.933099904257968404e+00  -3.472970998419706135e+00  8.751230239868164062e-01
-4.877066531308740238e-01  -1.777878894685869682e+00  2.269694138415011331e+00  -1.998659294269563347e+00  -1.944810880092770589e+00  -3.434492745933944047e+00  9.165868759155273438e-01
-4.658895306763124466e-01  -1.789978291465519789e+00  2.281094678903023532e+00  -1.976840564177926751e+00  -1.953507707797953685e+00  -3.397716169327219315e+00  9.651849269866943359e-01
-4.397133158370882811e-01  -1.800341434777557481e+00  2.290795435880498498e+00  -1.956679438204938393e+00  -1.959108631844703297e+00  -3.362884258543531235e+00  1.012017011642456055e+00
-4.146895264017755878e-01  -1.807587981572970293e+00  2.297519410684436103e+00  -1.941256833522238878e+00  -1.960312706243289682e+00  -3.335317991875805799e+00  1.057060003280639648e+00
-3.813198415687253373e-01  -1.814505846204820472e+00  2.303802365022836085e+00  -1.924629058641901480e+00  -1.956930961671990765e+00  -3.303936655509430498e+00  1.103947877883911133e+00
-3.452609963958614969e-01  -1.819283615199193349e+00  2.307927151328049042e+00  -1.910315767386702390e+00  -1.948752948844328259e+00  -3.274542119345805524e+00  1.150172948837280273e+00
