v1     v2   v3   v4  v5   v6   t1
-5.899999999999999754e-05  1.190000000000000058e-04  5.899999999999999754e-05  5.899999999999999754e-05  1.988999999999999883e-03  0.000000000000000000e+00  0.000000000000000000e+00
5.899999999999999754e-05  0.000000000000000000e+00  1.190000000000000058e-04  1.190000000000000058e-04  -1.698000000000000074e-03  6.099999999999999872e-05  7.902193069458007812e-02
-4.959000000000000213e-02  -1.076460000000000056e-01  1.054900000000000004e-01  -6.138799999999999812e-02  -2.445950000000000069e-01  1.725089999999999957e-01  1.693830490112304688e-01
-7.249999999999999500e-04  -2.962110000000000021e-01  2.912150000000000016e-01  -9.183299999999999796e-02  -5.732209999999999805e-01  5.064359999999999973e-01  2.330138683319091797e-01
3.219549999999999912e-01  -3.829069999999999974e-01  3.756320000000000214e-01  1.342210000000000070e-01  -5.557739999999999903e-01  7.435779999999999612e-01  2.973999977111816406e-01
3.749859999999999860e-01  -3.868849999999999789e-01  3.794330000000000203e-01  2.871859999999999968e-01  -5.890999999999999570e-01  7.790169999999999595e-01  3.494720458984375000e-01
3.415070000000000050e-01  -3.956799999999999762e-01  3.876550000000000273e-01  3.510320000000000107e-01  -5.850710000000000077e-01  7.693759999999999488e-01  4.095110893249511719e-01
3.345670000000000033e-01  -4.109320000000000195e-01  4.004269999999999774e-01  4.061210000000000098e-01  -5.631880000000000219e-01  8.198159999999999892e-01  4.888150691986083984e-01
3.130240000000000244e-01  -4.228199999999999736e-01  4.109329999999999927e-01  4.767120000000000246e-01  -5.611969999999999459e-01  8.534890000000000532e-01  5.555369853973388672e-01
3.041820000000000079e-01  -4.183390000000000164e-01  4.052729999999999944e-01  5.113550000000000040e-01  -5.434849999999999959e-01  8.694619999999999571e-01  6.180958747863769531e-01
2.707269999999999954e-01  -4.081469999999999820e-01  3.943690000000000251e-01  5.228519999999999834e-01  -5.039820000000000411e-01  8.632469999999999866e-01  6.685419082641601562e-01
2.755440000000000111e-01  -3.905870000000000175e-01  3.778079999999999772e-01  5.266469999999999763e-01  -4.636060000000000181e-01  8.596979999999999622e-01  7.154860496520996094e-01
3.018910000000000204e-01  -3.679790000000000005e-01  3.531130000000000102e-01  5.254379999999999606e-01  -4.119329999999999936e-01  8.541870000000000296e-01  7.699968814849853516e-01
3.358280000000000154e-01  -3.408479999999999843e-01  3.264139999999999819e-01  5.167019999999999946e-01  -3.538040000000000074e-01  8.449219999999999509e-01  8.161509037017822266e-01
3.723420000000000063e-01  -3.050359999999999738e-01  2.903510000000000257e-01  4.962820000000000009e-01  -2.816350000000000242e-01  8.192199999999999482e-01  8.751230239868164062e-01
4.075929999999999831e-01  -2.719380000000000130e-01  2.576740000000000141e-01  4.726040000000000241e-01  -2.171089999999999964e-01  7.874700000000000033e-01  9.165868759155273438e-01
4.925919999999999743e-01  -2.374709999999999877e-01  2.226760000000000128e-01  4.400600000000000067e-01  -1.556210000000000093e-01  7.504619999999999624e-01  9.651849269866943359e-01
5.837170000000000414e-01  -2.000439999999999996e-01  1.867499999999999993e-01  4.049400000000000222e-01  -8.262500000000000400e-02  7.080180000000000362e-01  1.012017011642456055e+00
6.523970000000000047e-01  -1.678260000000000030e-01  1.550259999999999971e-01  3.719470000000000276e-01  6.596000000000000300e-03  6.761249999999999760e-01  1.057060003280639648e+00
7.219349999999999934e-01  -1.262260000000000049e-01  1.125250000000000000e-01  3.259250000000000203e-01  1.156319999999999987e-01  6.366410000000000124e-01  1.103947877883911133e+00
7.690660000000000274e-01  -7.922700000000000575e-02  6.621000000000000496e-02  2.771669999999999967e-01  2.072209999999999885e-01  5.942300000000000360e-01  1.150172948837280273e+00
7.864759999999999529e-01  -4.484699999999999798e-02  3.203600000000000197e-02  2.425120000000000053e-01  2.567369999999999930e-01  5.639370000000000216e-01  1.184025049209594727e+00
7.948469999999999702e-01  2.912000000000000092e-03  -1.528999999999999977e-02  1.915000000000000036e-01  3.084930000000000172e-01  5.241170000000000551e-01  1.225925922393798828e+00
7.919129999999999781e-01  6.212299999999999767e-02  -7.349400000000000377e-02  1.274569999999999870e-01  3.627569999999999961e-01  4.789050000000000251e-01  1.272119045257568359e+00
7.698800000000000088e-01  1.201819999999999972e-01  -1.324869999999999937e-01  6.212999999999999773e-02  4.035830000000000251e-01  4.345479999999999898e-01  1.315610885620117188e+00
7.445439999999999836e-01  1.560020000000000018e-01  -1.693890000000000118e-01  2.135499999999999898e-02  4.224609999999999754e-01  4.053510000000000169e-01  1.354346036911010742e+00
6.987219999999999542e-01  2.034179999999999877e-01  -2.159739999999999993e-01  -3.629399999999999987e-02  4.448420000000000152e-01  3.637650000000000050e-01  1.396485090255737305e+00
6.526910000000000212e-01  2.343059999999999865e-01  -2.442509999999999959e-01  -7.970299999999999607e-02  4.610040000000000249e-01  3.323220000000000063e-01  1.440834999084472656e+00
5.932229999999999448e-01  2.580509999999999748e-01  -2.663550000000000084e-01  -1.206480000000000052e-01  4.674829999999999819e-01  2.962339999999999973e-01  1.484446048736572266e+00
5.513550000000000395e-01  2.683249999999999802e-01  -2.759469999999999978e-01  -1.410879999999999912e-01  4.668450000000000100e-01  2.737829999999999986e-01  1.521796941757202148e+00
4.946699999999999986e-01  2.854909999999999948e-01  -2.932489999999999819e-01  -1.709870000000000001e-01  4.635790000000000188e-01  2.452840000000000020e-01  1.568804979324340820e+00
4.577490000000000170e-01  3.049209999999999976e-01  -3.121749999999999803e-01  -1.957230000000000081e-01  4.629139999999999922e-01  2.270610000000000128e-01  1.606255054473876953e+00
4.226320000000000077e-01  3.220470000000000277e-01  -3.287780000000000147e-01  -2.168680000000000052e-01  4.549679999999999835e-01  2.108669999999999989e-01  1.646817922592163086e+00
3.888599999999999834e-01  3.299900000000000055e-01  -3.362100000000000088e-01  -2.301799999999999957e-01  4.389239999999999808e-01  1.940369999999999873e-01  1.686042070388793945e+00
3.546070000000000055e-01  3.304989999999999872e-01  -3.360679999999999779e-01  -2.375210000000000099e-01  4.174109999999999765e-01  1.772360000000000047e-01  1.725528955459594727e+00
3.277510000000000145e-01  3.246760000000000201e-01  -3.294380000000000086e-01  -2.374280000000000002e-01  3.934799999999999964e-01  1.633999999999999897e-01  1.762212991714477539e+00
2.934800000000000186e-01  3.102539999999999742e-01  -3.141189999999999816e-01  -2.335679999999999978e-01  3.599999999999999867e-01  1.465829999999999911e-01  1.799741983413696289e+00
2.543619999999999770e-01  2.876099999999999768e-01  -2.903689999999999882e-01  -2.218700000000000117e-01  3.179629999999999956e-01  1.267449999999999966e-01  1.846200942993164062e+00
