   tau1     tau2   tau3   tau4  tau5   tau6   t1
-4.088749999999994889e-01  4.876250000000054152e-01  -6.508749999999952074e-01  8.224999999999985101e-02  2.896250000000000213e-01  -4.359999999999988884e-01  3.458355903625488281e+00
-4.208750000000011093e-01  6.088749999999948370e-01  -7.930000000000020366e-01  3.624999999999982403e-02  5.696250000000000480e-01  -4.454999999999979532e-01  3.496800899505615234e+00
-5.172500000000003206e-01  6.627499999999966196e-01  -8.503750000000004361e-01  5.174999999999971290e-02  3.544999999999999818e-01  -4.868750000000011680e-01  3.525707006454467773e+00
-4.631249999999982325e-01  6.545000000000023022e-01  -8.423749999999993188e-01  1.190000000000001751e-01  5.248749999999999805e-01  -5.193750000000024736e-01  3.568168878555297852e+00
-4.504999999999995119e-01  6.738750000000008900e-01  -7.873749999999998250e-01  1.097500000000004722e-01  -4.066249999999999587e-01  -5.070000000000004503e-01  3.616561889648437500e+00
-4.363749999999992357e-01  5.748749999999990257e-01  -7.157500000000011076e-01  1.114999999999996133e-01  -2.783750000000000946e-01  -4.039999999999980829e-01  3.645324945449829102e+00
-3.493749999999989919e-01  6.092499999999986260e-01  -6.989999999999981783e-01  1.204999999999999405e-01  -4.337500000000001077e-02  -3.942499999999987681e-01  3.677160024642944336e+00
-1.075000000000034261e-02  -1.046250000000005509e-01  4.537499999999680678e-02  -7.200000000000000844e-02  4.499999999999946751e-03  3.237500000000115286e-02  3.716827869415283203e+00
-9.625000000000003345e-03  1.712499999999999439e-02  -4.125000000000005398e-03  -5.466250000000000275e-01  1.063749999999999973e-01  5.013750000000001261e-01  4.523720026016235352e+00
1.487500000000000974e-02  3.862499999999999267e-02  -2.937499999999999487e-02  2.416249999999999787e-01  1.792499999999999927e-01  3.804999999999999494e-01  4.565708875656127930e+00
-7.562499999999999778e-02  2.033750000000000002e-01  -2.044999999999999873e-01  -4.653749999999999831e-01  -4.711249999999999605e-01  -5.284999999999999698e-01  4.594652891159057617e+00
-6.958750000000001323e-01  1.197875000000000023e+00  -1.697000000000000064e+00  7.898749999999998828e-01  -3.617500000000000160e-01  -2.035000000000001252e-01  4.625746011734008789e+00
-1.027000000000000135e+00  1.931750000000001188e+00  -2.589124999999997456e+00  3.381249999999998979e-01  2.202500000000000013e-01  -7.926249999999999130e-01  4.663699865341186523e+00
-1.050374999999999170e+00  2.054125000000000423e+00  -2.761624999999999996e+00  6.063750000000001084e-01  1.493749999999999800e-01  -9.643749999999999822e-01  4.703629016876220703e+00
-9.838750000000003881e-01  1.791999999999998483e+00  -2.425625000000000586e+00  4.291249999999989240e-01  3.661249999999999782e-01  -8.271249999999996660e-01  4.741800069808959961e+00
-7.761249999999990656e-01  1.510749999999998261e+00  -2.173874999999998892e+00  4.173749999999993299e-01  5.773750000000000826e-01  -7.132499999999986073e-01  4.780440092086791992e+00
-5.908749999999975966e-01  1.382250000000001533e+00  -1.962500000000005906e+00  3.776249999999994889e-01  4.356249999999998179e-01  -5.775000000000015676e-01  4.816066980361938477e+00
-5.742499999999983729e-01  1.368125000000004698e+00  -2.000874999999999293e+00  3.267500000000006510e-01  9.949999999999997735e-02  -5.928749999999995968e-01  4.850135087966918945e+00
-4.774999999999987588e-01  1.121125000000000593e+00  -1.635625000000001661e+00  3.040000000000004365e-01  3.125000000000002776e-02  -3.592500000000019011e-01  4.877731084823608398e+00
