  q1     q2   q3   q4  q5   q6   t1
-7.000029722796838882e-01  -1.499851528798238576e+00  1.999799251556396484e+00  -2.269951168690816701e+00  -1.569883648549215138e+00  -4.019879643117086232e+00  0.000000000000000000e+00
-7.000506559955042007e-01  -1.499827686940328419e+00  1.999799251556396484e+00  -2.269975010548726857e+00  -1.569835487996236623e+00  -4.019903723393575490e+00  7.902193069458007812e-02
-7.009618918048303726e-01  -1.501985851918355763e+00  2.001967906951904297e+00  -2.271377865468160451e+00  -1.574883762990133107e+00  -4.016189638768331349e+00  1.693830490112304688e-01
-7.055419127093713882e-01  -1.515735451375142873e+00  2.015278339385986328e+00  -2.278307739888326466e+00  -1.603968922291890919e+00  -3.994025293980733693e+00  2.330138683319091797e-01
-6.942237059222620132e-01  -1.538631741200582326e+00  2.037921428680419922e+00  -2.277252976094381154e+00  -1.641410175954000294e+00  -3.951948944722310841e+00  2.973999977111816406e-01
-6.730154196368616226e-01  -1.560546223317281544e+00  2.059473991394042969e+00  -2.264459911976949513e+00  -1.673456970845357716e+00  -3.908087078724996388e+00  3.494720458984375000e-01
-6.528618971454065445e-01  -1.582604710255758107e+00  2.080955982208251953e+00  -2.245767895375387013e+00  -1.707013432179586232e+00  -3.864525620137349904e+00  4.095110893249511719e-01
-6.253350416766565445e-01  -1.614769283925191701e+00  2.112345218658447266e+00  -2.215372864400045216e+00  -1.752294842396871388e+00  -3.800739828740255177e+00  4.888150691986083984e-01
-6.024239698993127945e-01  -1.645244423543111623e+00  2.141890525817871094e+00  -2.183298889790670216e+00  -1.792995754872457326e+00  -3.740417067204610646e+00  5.555369853973388672e-01
-5.847161451922815445e-01  -1.668946091328756154e+00  2.164762496948242188e+00  -2.155360523854390919e+00  -1.824153725300924123e+00  -3.691942993794576466e+00  6.180958747863769531e-01
-5.688784758197229507e-01  -1.691976849232808888e+00  2.187454700469970703e+00  -2.126307312642232716e+00  -1.853452984486715138e+00  -3.643252913151876271e+00  6.685419082641601562e-01
-5.558946768390100601e-01  -1.711219612752095998e+00  2.205846309661865234e+00  -2.100634876881734669e+00  -1.876506153737203419e+00  -3.601894680653707326e+00  7.154860496520996094e-01
-5.422266165362756851e-01  -1.729467217122213185e+00  2.223459243774414062e+00  -2.075453583394185841e+00  -1.897629086171285451e+00  -3.560752455388204396e+00  7.699968814849853516e-01
-5.267608801471155289e-01  -1.746312443410054982e+00  2.239633560180664062e+00  -2.050067726765767873e+00  -1.915862385426656544e+00  -3.520029369984762013e+00  8.161509037017822266e-01
-5.068834463702600601e-01  -1.764451805745260060e+00  2.256803989410400391e+00  -2.021720234547750294e+00  -1.933449093495504201e+00  -3.473363463078634084e+00  8.751230239868164062e-01
-4.880965391742151382e-01  -1.778156582509176076e+00  2.269911289215087891e+00  -1.998780552540914357e+00  -1.945268932973043263e+00  -3.434640947972432912e+00  9.165868759155273438e-01
-4.665759245501917007e-01  -1.790277783070699513e+00  2.281426429748535156e+00  -1.976487461720601857e+00  -1.953924004231588185e+00  -3.397858683262960255e+00  9.651849269866943359e-01
-4.405959288226526382e-01  -1.800672833119527638e+00  2.291059970855712891e+00  -1.956557099019185841e+00  -1.959642235432760060e+00  -3.362717930470601857e+00  1.012017011642456055e+00
-4.156706968890588882e-01  -1.807915035878316701e+00  2.297697782516479492e+00  -1.941267315541402638e+00  -1.960973087941304982e+00  -3.335184876118795216e+00  1.057060003280639648e+00
-3.822816053973596695e-01  -1.814809147511617482e+00  2.304144144058227539e+00  -1.924130741749898732e+00  -1.957652393971578419e+00  -3.303590838109151662e+00  1.103947877883911133e+00
-3.462427298175256851e-01  -1.819688622151510060e+00  2.308241605758666992e+00  -1.909883801137105763e+00  -1.949548546467916310e+00  -3.274188343678609669e+00  1.150172948837280273e+00
-3.211143652545374039e-01  -1.821559254323140919e+00  2.309715509414672852e+00  -1.901825253163472951e+00  -1.941984478627340138e+00  -3.255808893834249318e+00  1.184025049209594727e+00
-2.892602125750940445e-01  -1.822206799183980763e+00  2.309895038604736328e+00  -1.893347088490621388e+00  -1.930152718220845998e+00  -3.234134737645284474e+00  1.225925922393798828e+00
-2.509792486773889664e-01  -1.820528332387105763e+00  2.307726621627807617e+00  -1.885767761860982716e+00  -1.913848702107564748e+00  -3.210255448018209279e+00  1.272119045257568359e+00
-2.132032553302209976e-01  -1.815912071858541310e+00  2.302574157714843750e+00  -1.881474796925679982e+00  -1.895255390797750294e+00  -3.188616816197530568e+00  1.315610885620117188e+00
-1.890457312213342789e-01  -1.811320130025045216e+00  2.297697782516479492e+00  -1.880323235188619435e+00  -1.881804768239156544e+00  -3.175221029912130177e+00  1.354346036911010742e+00
-1.544106642352502945e-01  -1.802447144185201466e+00  2.288136243820190430e+00  -1.881018940602437794e+00  -1.860657993947164357e+00  -3.157009426747457326e+00  1.396485090255737305e+00
