a1     a2   a3   a4  a5   a6   t1
3.141592653589793116e+00  -1.998847158276265967e-01  2.269493200925389587e-01  2.390434691002093492e-01  2.803191898986848951e+00  -3.913174742208992002e-02  0.000000000000000000e+00
-7.821496392962878907e-01  -2.785010182763410502e-01  3.251213444768513150e-01  2.208584498287355036e+00  -3.141592653589793116e+00  -1.304121706165051187e+00  7.902193069458007812e-02
3.141592653589793116e+00  -2.575836424296590876e-01  6.316677255918536904e-01  4.353192251663766665e-01  6.203883319544846175e-01  -2.763830628165052025e-02  1.693830490112304688e-01
3.141592653589793116e+00  1.198039060910258552e-01  7.566813005943042736e-01  7.689363550412302573e-01  3.141592653589793116e+00  6.968201051051683970e-02  2.330138683319091797e-01
3.141592653589793116e+00  4.652178805787625104e-01  3.306898495990046594e-01  7.621390206382423482e-01  3.141592653589793116e+00  -3.699455706003900168e-01  2.973999977111816406e-01
3.141592653589793116e+00  6.276892768451353133e-01  -1.416705012330248259e-01  6.591477844495654548e-01  3.141592653589793116e+00  -1.581182088157421506e-01  3.494720458984375000e-01
6.898251875650310838e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -5.970416826920055264e-01  3.141592414577890846e+00  -1.901509817882554576e-01  4.095110893249511719e-01
3.141592653589793116e+00  9.179885288894451545e-01  -5.337466841074208768e-01  -9.922353779554325681e-02  3.141592653589793116e+00  -3.096283606455327853e-01  4.888150691986083984e-01
6.746062285859688590e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.339745483831962347e-01  5.555369853973388672e-01
3.633345258543920764e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.252565331743024202e-01  6.180958747863769531e-01
1.023897839958431283e-01  3.141592652147072950e+00  -3.141592650134813258e+00  -3.141592598395742453e+00  3.141592633968939285e+00  -3.313939125903389571e-01  6.685419082641601562e-01
-1.723499693963801149e-01  3.141592638566734319e+00  -3.141592639298388168e+00  -3.141592576085550537e+00  3.141592613204337692e+00  -3.272297056735428700e-01  7.154860496520996094e-01
-3.463340484747341463e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.218247354487148715e-01  7.699968814849853516e-01
-4.581235931336343215e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.153264193336627330e-01  8.161509037017822266e-01
-7.349848493093363855e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.105433204957813165e-01  8.751230239868164062e-01
-1.060726601819949044e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.054891849547060056e-01  9.165868759155273438e-01
-1.668023496521126914e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -2.905136987277348593e-01  9.651849269866943359e-01
-2.528289959792950459e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -2.937738128437689111e-01  1.012017011642456055e+00
-3.141592653589793116e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  2.759046182652445722e+00  -2.836416520382074591e-01  1.057060003280639648e+00
-2.907754859694280825e+00  3.043657451937236136e+00  -3.078664773488942075e+00  -3.040330054463225906e+00  5.962770151077367853e-01  -2.630545112667182495e-01  1.103947877883911133e+00
-2.960503167766230348e+00  2.813639018388752966e+00  -2.877626884959246567e+00  -2.871857980737733129e+00  -5.369374908280130088e-01  -2.507410246848045809e-01  1.150172948837280273e+00
-2.953995674676061611e+00  2.228238836418578561e+00  -2.329053589011251368e+00  -2.282063893685816414e+00  -1.193243117517445828e+00  -2.400052465772739563e-01  1.184025049209594727e+00
-3.079148277313487281e+00  1.822888708317526696e+00  -1.982785498233418764e+00  -2.001830249682726492e+00  -2.652519862350627200e+00  -2.259105219522772323e-01  1.225925922393798828e+00
-3.060030842340686785e+00  9.366367038707965609e-01  -1.377522000558442317e+00  -1.463496592102584870e+00  -3.141592653589793116e+00  -2.096788795570837527e-01  1.272119045257568359e+00
-3.014929608781876436e+00  -1.049243381949516857e-01  -7.608238525043136136e-01  -1.034858875969834280e+00  -3.141592009575654654e+00  -1.922148382650487319e-01  1.315610885620117188e+00
-2.991048893635218864e+00  -4.127620222222503354e-01  -5.461772232552277728e-01  -8.559298033537530159e-01  -3.141592653589793116e+00  -1.886384680033633965e-01  1.354346036911010742e+00
-2.952673454594592517e+00  -1.925470257993291634e+00  7.224031360141933700e-01  -1.821030970115538813e-02  -3.141592653589793116e+00  -1.691723783540909631e-01  1.396485090255737305e+00
-2.948898185505637315e+00  -2.542656970967885677e+00  2.359131187490467241e+00  1.851253819633295716e+00  -3.141592653589793116e+00  -7.335708822321572453e-02  1.440834999084472656e+00
-2.943829843956016212e+00  -2.727244021176156608e+00  2.445783490626642465e+00  2.003194357754455979e+00  -3.141592653589793116e+00  -6.793189150519228503e-02  1.484446048736572266e+00
-2.955062971293195950e+00  -2.906413611817677101e+00  2.670400928595448864e+00  2.410453519840335179e+00  -3.141592653589793116e+00  6.441400524124617222e-02  1.521796941757202148e+00
-2.941016309175023213e+00  -2.998320935183081293e+00  2.779814884083089410e+00  2.512073882462027008e+00  -3.121328342460071514e+00  9.869604039074415802e-02  1.568804979324340820e+00
-2.898763553258192793e+00  -3.017417877519027236e+00  2.763187025780874606e+00  2.498030372203518645e+00  -3.081340547715704759e+00  2.803414555596971114e-02  1.606255054473876953e+00
-2.881583219790119887e+00  -3.036891657611082262e+00  2.805782696858692304e+00  2.538132804403365750e+00  -3.046127082018270205e+00  6.187558222222447335e-02  1.646817922592163086e+00
-2.828544224911325955e+00  -3.052982899821497398e+00  2.847757932221580024e+00  2.600614781599943637e+00  -3.001945572658176520e+00  7.634532783999735395e-02  1.686042070388793945e+00
-2.756817496067438089e+00  -3.071470756829353554e+00  2.884957621712962883e+00  2.708265588250237332e+00  -2.925819114066877447e+00  2.791232244844589205e-01  1.725528955459594727e+00
-2.766143772282823043e+00  -3.085864650846420698e+00  2.904468123777284916e+00  2.718803340160596438e+00  -2.919264916219047379e+00  1.947978696061069548e-01  1.762212991714477539e+00
-2.727021385101066731e+00  -3.093519860340567806e+00  2.928306695042174113e+00  2.779281786911706575e+00  -2.885349705067824733e+00  4.821092735735553469e-02  1.799741983413696289e+00
-2.672124575851030581e+00  -3.115357477128013919e+00  2.964688488047478199e+00  2.779236104409479324e+00  -2.817209071790311548e+00  1.774254454156298233e-01  1.846200942993164062e+00
-2.670321754624743082e+00  -3.117694621924723464e+00  2.966188023030074117e+00  2.800316766001660351e+00  -2.812643294980969877e+00  4.003682585177837372e-01  1.881919860839843750e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.915360927581787109e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.949508905410766602e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.989537954330444336e+00
-8.149280186741295617e-01  1.653936990190463474e+00  -3.141592653589793116e+00  1.980340297906799940e-01  1.098157850074490093e-02  -6.941876521767639252e-01  2.810937881469726562e+00
-8.157039866456717858e-01  1.639777063450402528e+00  -3.141592653589793116e+00  1.851621487859682058e-01  1.228694038386231053e-03  -6.942395658261401037e-01  2.863455057144165039e+00
-8.199239249299901111e-01  1.666998037527899434e+00  -3.141592653589793116e+00  1.617794489312764650e-01  -2.579661847202083247e-02  -6.979164599493753451e-01  2.889874935150146484e+00
