v1     v2   v3   v4  v5   v6   t1
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.179999999999999951e-04  -1.190000000000000058e-04  5.899999999999999754e-05  0.000000000000000000e+00
-5.899999999999999754e-05  -5.899999999999999754e-05  -5.899999999999999754e-05  1.179999999999999951e-04  1.800000000000000113e-04  0.000000000000000000e+00  7.902193069458007812e-02
-1.202130000000000004e-01  -6.897300000000000653e-02  -6.679200000000000415e-02  -9.073599999999999721e-02  -2.368129999999999957e-01  4.568400000000000238e-02  1.693830490112304688e-01
-2.471039999999999903e-01  -2.119969999999999910e-01  -1.063169999999999948e-01  -1.981870000000000021e-01  -4.876300000000000079e-01  1.692760000000000098e-01  2.330138683319091797e-01
-1.303690000000000127e-01  -3.379630000000000134e-01  1.131790000000000018e-01  -1.260900000000000076e-01  -2.188720000000000110e-01  3.242160000000000042e-01  2.973999977111816406e-01
-9.390000000000000777e-03  -3.833250000000000268e-01  2.638349999999999862e-01  -1.073410000000000059e-01  -9.456900000000000028e-02  3.023210000000000064e-01  3.494720458984375000e-01
9.939099999999999324e-02  -4.093120000000000092e-01  3.243889999999999829e-01  1.939600000000000005e-02  -2.828030000000000266e-01  2.375470000000000081e-01  4.095110893249511719e-01
2.470259999999999956e-01  -4.364250000000000074e-01  3.762670000000000181e-01  1.894869999999999888e-01  -5.432770000000000099e-01  2.099719999999999920e-01  4.888150691986083984e-01
3.325609999999999955e-01  -4.703129999999999811e-01  4.445580000000000087e-01  2.512460000000000249e-01  -6.431310000000000082e-01  1.967440000000000022e-01  5.555369853973388672e-01
3.671440000000000259e-01  -4.784459999999999824e-01  4.777379999999999960e-01  2.488650000000000029e-01  -6.192060000000000342e-01  1.869919999999999916e-01  6.180958747863769531e-01
3.051459999999999728e-01  -4.761179999999999857e-01  4.905079999999999996e-01  3.127480000000000260e-01  -5.801770000000000538e-01  1.856349999999999945e-01  6.685419082641601562e-01
3.262570000000000192e-01  -4.660710000000000131e-01  4.945640000000000036e-01  3.657009999999999983e-01  -5.411240000000000494e-01  1.805110000000000048e-01  7.154860496520996094e-01
3.781039999999999957e-01  -4.468059999999999810e-01  4.896190000000000264e-01  3.971080000000000165e-01  -4.941960000000000242e-01  1.726519999999999999e-01  7.699968814849853516e-01
4.354660000000000197e-01  -4.237290000000000223e-01  4.785769999999999746e-01  4.117029999999999856e-01  -4.409129999999999994e-01  1.645199999999999996e-01  8.161509037017822266e-01
4.913660000000000250e-01  -3.910560000000000147e-01  4.583019999999999872e-01  4.181960000000000122e-01  -3.705260000000000220e-01  1.542580000000000062e-01  8.751230239868164062e-01
5.218610000000000193e-01  -3.599950000000000094e-01  4.339230000000000032e-01  4.149900000000000255e-01  -3.056880000000000153e-01  1.433770000000000044e-01  9.165868759155273438e-01
5.360479999999999690e-01  -3.257789999999999853e-01  4.042520000000000002e-01  4.011089999999999933e-01  -2.398560000000000136e-01  1.326259999999999939e-01  9.651849269866943359e-01
5.394710000000000338e-01  -2.870349999999999846e-01  3.679169999999999940e-01  3.792519999999999780e-01  -1.749850000000000017e-01  1.222499999999999976e-01  1.012017011642456055e+00
5.409599999999999964e-01  -2.527619999999999867e-01  3.373079999999999967e-01  3.573640000000000150e-01  -1.194260000000000044e-01  1.134610000000000063e-01  1.057060003280639648e+00
5.460110000000000241e-01  -2.103919999999999957e-01  2.944570000000000243e-01  3.246930000000000094e-01  -5.007199999999999845e-02  1.023180000000000062e-01  1.103947877883911133e+00
