v1     v2   v3   v4  v5   v6   t1
0.000000000000000000e+00  0.000000000000000000e+00  -0.000000000000000000e+00  0.000000000000000000e+00  -2.641323208808898926e-02  0.000000000000000000e+00  0.000000000000000000e+00
0.000000000000000000e+00  0.000000000000000000e+00  -0.000000000000000000e+00  0.000000000000000000e+00  -4.307130724191665649e-02  0.000000000000000000e+00  7.902193069458007812e-02
-4.724660888314247131e-02  -1.016517952084541321e-01  1.032880395650863647e-01  -5.519934371113777161e-02  -2.337643057107925415e-01  1.622664183378219604e-01  1.693830490112304688e-01
-1.334563270211219788e-02  -3.016573190689086914e-01  2.979118525981903076e-01  -1.048380061984062195e-01  -5.916132926940917969e-01  5.026423931121826172e-01  2.330138683319091797e-01
3.339859843254089355e-01  -3.894905149936676025e-01  3.826387226581573486e-01  1.253310292959213257e-01  -5.568590164184570312e-01  7.540714144706726074e-01  2.973999977111816406e-01
3.858345150947570801e-01  -3.855021595954895020e-01  3.800053894519805908e-01  2.925828695297241211e-01  -5.968623757362365723e-01  7.901200056076049805e-01  3.494720458984375000e-01
3.455163836479187012e-01  -3.994997441768646240e-01  3.874835669994354248e-01  3.660941123962402344e-01  -5.847582817077636719e-01  7.764819264411926270e-01  4.095110893249511719e-01
3.378337025642395020e-01  -4.103270769119262695e-01  4.040249884128570557e-01  4.064330160617828369e-01  -5.646247863769531250e-01  8.262643814086914062e-01  4.888150691986083984e-01
3.124463260173797607e-01  -4.245803356170654297e-01  4.082050919532775879e-01  4.855049252510070801e-01  -5.591120719909667969e-01  8.542835116386413574e-01  5.555369853973388672e-01
3.045079708099365234e-01  -4.210138320922851562e-01  4.109278917312622070e-01  5.150101184844970703e-01  -5.424060225486755371e-01  8.701985478401184082e-01  6.180958747863769531e-01
2.690602242946624756e-01  -4.075659215450286865e-01  3.919193148612976074e-01  5.240702033042907715e-01  -5.061657428741455078e-01  8.667950630187988281e-01  6.685419082641601562e-01
2.743013501167297363e-01  -3.900785446166992188e-01  3.794301450252532959e-01  5.278332233428955078e-01  -4.661144614219665527e-01  8.646379113197326660e-01  7.154860496520996094e-01
3.028717339038848877e-01  -3.662762641906738281e-01  3.509364724159240723e-01  5.317400693893432617e-01  -4.108432233333587646e-01  8.538520932197570801e-01  7.699968814849853516e-01
3.370283842086791992e-01  -3.415024876594543457e-01  3.288599252700805664e-01  5.234949588775634766e-01  -3.557397425174713135e-01  8.456788659095764160e-01  8.161509037017822266e-01
