tif_tot   t1   iter_no
1.213989713467730880e+00  0.000000000000000000e+00  1.000000000000000000e+00
1.163988406379950380e+00  7.902193069458007812e-02  2.000000000000000000e+00
1.131267792998623456e+00  1.693830490112304688e-01  3.000000000000000000e+00
1.116954284899296379e+00  2.330138683319091797e-01  4.000000000000000000e+00
1.080135213970065511e+00  2.973999977111816406e-01  5.000000000000000000e+00
1.078652296751589468e+00  3.494720458984375000e-01  6.000000000000000000e+00
1.053694955021017288e+00  4.095110893249511719e-01  7.000000000000000000e+00
1.064702453039552132e+00  4.888150691986083984e-01  8.000000000000000000e+00
1.038754992314591341e+00  5.555369853973388672e-01  9.000000000000000000e+00
1.019448054546088667e+00  6.180958747863769531e-01  1.000000000000000000e+01
1.005329220939841228e+00  6.685419082641601562e-01  1.100000000000000000e+01
9.934487979967827620e-01  7.154860496520996094e-01  1.200000000000000000e+01
9.828039789106393087e-01  7.699968814849853516e-01  1.300000000000000000e+01
9.727338186033789302e-01  8.161509037017822266e-01  1.400000000000000000e+01
9.605266795667725122e-01  8.751230239868164062e-01  1.500000000000000000e+01
9.474249991179860553e-01  9.165868759155273438e-01  1.600000000000000000e+01
9.318734901388554537e-01  9.651849269866943359e-01  1.700000000000000000e+01
9.137535971981437521e-01  1.012017011642456055e+00  1.800000000000000000e+01
8.920606398691068861e-01  1.057060003280639648e+00  1.900000000000000000e+01
8.647155632922964852e-01  1.103947877883911133e+00  2.000000000000000000e+01
8.427152945708096254e-01  1.150172948837280273e+00  2.100000000000000000e+01
8.267389074210366173e-01  1.184025049209594727e+00  2.200000000000000000e+01
8.083351443892889954e-01  1.225925922393798828e+00  2.300000000000000000e+01
7.875866989379343153e-01  1.272119045257568359e+00  2.400000000000000000e+01
7.666980796868835268e-01  1.315610885620117188e+00  2.500000000000000000e+01
7.504178869360615955e-01  1.354346036911010742e+00  2.600000000000000000e+01
7.316306000264702902e-01  1.396485090255737305e+00  2.700000000000000000e+01
7.143133085578006192e-01  1.440834999084472656e+00  2.800000000000000000e+01
6.957924860172755022e-01  1.484446048736572266e+00  2.900000000000000000e+01
6.802012612277458237e-01  1.521796941757202148e+00  3.000000000000000000e+01
6.622569259870170200e-01  1.568804979324340820e+00  3.100000000000000000e+01
6.457801578593962422e-01  1.606255054473876953e+00  3.200000000000000000e+01
6.292137025539925599e-01  1.646817922592163086e+00  3.300000000000000000e+01
6.126046253539025876e-01  1.686042070388793945e+00  3.400000000000000000e+01
5.960317190379724739e-01  1.725528955459594727e+00  3.500000000000000000e+01
5.811072059325073091e-01  1.762212991714477539e+00  3.600000000000000000e+01
5.657727005697827938e-01  1.799741983413696289e+00  3.700000000000000000e+01
5.491354358910152111e-01  1.846200942993164062e+00  3.800000000000000000e+01
5.347369669150803251e-01  1.881919860839843750e+00  3.900000000000000000e+01
5.204062734619641084e-01  1.915360927581787109e+00  4.000000000000000000e+01
5.077405243477114416e-01  1.949508905410766602e+00  4.100000000000000000e+01
4.929341197905089955e-01  1.989537954330444336e+00  4.200000000000000000e+01
8.092250361321066121e-01  2.810937881469726562e+00  4.300000000000000000e+01
8.092105354332463918e-01  2.863455057144165039e+00  4.400000000000000000e+01
8.086623114924447187e-01  2.889874935150146484e+00  4.500000000000000000e+01
8.062005862526383515e-01  2.917383909225463867e+00  4.600000000000000000e+01
7.999637589728625375e-01  2.943095922470092773e+00  4.700000000000000000e+01
