a1     a2   a3   a4  a5   a6   t1
3.141592653589793116e+00  -4.504111049524677640e-02  1.474389271024253989e-02  3.167932837791838097e-01  2.833823468891992103e+00  3.239585531336391377e-01  0.000000000000000000e+00
-3.141592653589793116e+00  -1.096019228833904346e-01  7.370583459276795757e-02  4.121461382475494206e-01  -3.141592631980979711e+00  -3.949383529085923050e-01  7.902193069458007812e-02
3.094938591294203345e+00  3.898832989196664156e-02  -8.804627091727333654e-02  7.143558741579116855e-01  3.055549300366505072e+00  6.163227963951110056e-01  1.693830490112304688e-01
3.141592653589793116e+00  5.343571799490783869e-01  -5.692938704871540745e-01  8.320491227508225451e-01  3.141592653589793116e+00  7.965125134071850965e-01  2.330138683319091797e-01
3.141592653589793116e+00  9.034238728464352164e-01  -9.491975607929015180e-01  4.413873253976736133e-01  3.141592653589793116e+00  3.690870952877185751e-02  2.973999977111816406e-01
3.141592653589793116e+00  9.074934119303665891e-01  -9.495322814662464639e-01  -8.660506849702234722e-02  3.141592653589793116e+00  1.209883134311362657e-01  3.494720458984375000e-01
1.987380664369182925e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -7.072185495049304604e-01  4.095110893249511719e-01
3.141592653589793116e+00  1.157207754128305677e+00  -1.192848927298549855e+00  -5.007035214743651430e-01  3.141592653589793116e+00  -4.070433720440220782e-01  4.888150691986083984e-01
2.032557649418763379e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -8.825006677606670458e-01  5.555369853973388672e-01
1.671514357541337592e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -9.249829500396885562e-01  6.180958747863769531e-01
1.446889422740702091e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592598420449800e+00  3.141592573173426217e+00  -9.387318051393435114e-01  6.685419082641601562e-01
1.164552784616053049e+00  3.141592640307616424e+00  -3.141592653589793116e+00  -3.141592566894785943e+00  3.141592458074698335e+00  -9.550271846307371026e-01  7.154860496520996094e-01
9.348860678739805419e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592645115150795e+00  -9.661147678702002306e-01  7.699968814849853516e-01
-6.476129976666600285e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592621926031281e+00  -9.749304605043082050e-01  8.161509037017822266e-01
-9.022568346793551353e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592549913833743e+00  -9.871429956020294494e-01  8.751230239868164062e-01
-1.396742060767023785e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  1.191540899532179232e+00  -9.920610276455698040e-01  9.165868759155273438e-01
-1.577996897101072937e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  9.809515543881184296e-01  -1.000405263181150417e+00  9.651849269866943359e-01
-1.774244313234984771e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  7.118940395145240130e-01  -1.001690005907266645e+00  1.012017011642456055e+00
