q1     q2   q3   q4  q5   q6   t1
-1.039888758253718848e+00  -1.135081663239217775e+00  1.545105138618824370e+00  -2.096838800577686790e+00  -1.569913035530740686e+00  -3.570086041120403841e+00  0.000000000000000000e+00
-1.039894469901945229e+00  -1.135081151069606165e+00  1.545105627149100158e+00  -2.096828337483624516e+00  -1.569914940202014719e+00  -3.570084599965380079e+00  7.902193069458007812e-02
-1.043139833994020549e+00  -1.136897437686421597e+00  1.543345793615475081e+00  -2.099196688400239097e+00  -1.576218968420924682e+00  -3.568874952341793083e+00  1.693830490112304688e-01
-1.056734967143110993e+00  -1.146245792115259121e+00  1.536030104954876130e+00  -2.110021932952086843e+00  -1.603553414883752026e+00  -3.562193757914880798e+00  2.330138683319091797e-01
-1.068840280450896074e+00  -1.164723587963798934e+00  1.536840623166288111e+00  -2.119871046369500078e+00  -1.625777192433549345e+00  -3.544900788316555307e+00  2.973999977111816406e-01
-1.072246955450797401e+00  -1.185264461419773596e+00  1.548387759209700398e+00  -2.126722608023513317e+00  -1.632510208380285377e+00  -3.527017321095968327e+00  3.494720458984375000e-01
-1.069409730066622544e+00  -1.207627032224152686e+00  1.565361714117975422e+00  -2.128930896966650721e+00  -1.643219247051408871e+00  -3.512246699739980826e+00  4.095110893249511719e-01
-1.054261708111335238e+00  -1.241407087306164669e+00  1.593319598533375459e+00  -2.119413002308650817e+00  -1.677958473243258197e+00  -3.494710273266606659e+00  4.888150691986083984e-01
-1.033240388603109849e+00  -1.274313304551455417e+00  1.623201811724500399e+00  -2.102450520614011609e+00  -1.722179741083607496e+00  -3.480054529971943644e+00  5.555369853973388672e-01
-1.012740332165223300e+00  -1.300938544258830376e+00  1.649320414414562785e+00  -2.088774596706124420e+00  -1.757600205105006808e+00  -3.469407977472418469e+00  6.180958747863769531e-01
-9.943704860661854994e-01  -1.327672988120820463e+00  1.676569007124637967e+00  -2.072899824261798862e+00  -1.791069419576832189e+00  -3.458981595754231808e+00  6.685419082641601562e-01
-9.793357502575599227e-01  -1.350282252997583754e+00  1.700256294587300765e+00  -2.056344395861860797e+00  -1.817870890850619148e+00  -3.450194763397494313e+00  7.154860496520996094e-01
-9.622902356623725950e-01  -1.372153588729155160e+00  1.723883662661663152e+00  -2.037852656911285365e+00  -1.842568246960643918e+00  -3.441729531107181828e+00  7.699968814849853516e-01
-9.425453610436473895e-01  -1.392963211336191165e+00  1.747090572590800583e+00  -2.018328454302310782e+00  -1.864829266987182876e+00  -3.433661207930169379e+00  8.161509037017822266e-01
-9.162820086818594945e-01  -1.415665107105317233e+00  1.773329624957763029e+00  -1.994945164641911184e+00  -1.887299192257719582e+00  -3.424759084467981829e+00  8.751230239868164062e-01
-8.917724653041974037e-01  -1.433597914353603286e+00  1.794676241426088170e+00  -1.974941057227711738e+00  -1.903288440640096724e+00  -3.417662485613294443e+00  9.165868759155273438e-01
-8.662224443108215155e-01  -1.449948778168739238e+00  1.814695552621575780e+00  -1.955385681132949749e+00  -1.916122984758047210e+00  -3.411086707684844122e+00  9.651849269866943359e-01
-8.403381832098961723e-01  -1.464499131414378041e+00  1.833102106396263364e+00  -1.936683590533800903e+00  -1.925821800821484686e+00  -3.405008436033893915e+00  1.012017011642456055e+00
-8.187345962153340651e-01  -1.475177474589063564e+00  1.847094366916463226e+00  -1.922028229820938350e+00  -1.931498248820272323e+00  -3.400326238622481512e+00  1.057060003280639648e+00
-7.926654788555591580e-01  -1.486165945787313092e+00  1.862098128660163443e+00  -1.905744948929500637e+00  -1.935313433480448708e+00  -3.395191908306268935e+00  1.103947877883911133e+00
-7.661083808186335276e-01  -1.494961016898429307e+00  1.874950827561388422e+00  -1.891225763374700719e+00  -1.935733638609850260e+00  -3.390592508432706875e+00  1.150172948837280273e+00
-7.478739686477213766e-01  -1.499481946240077690e+00  1.882189938519663430e+00  -1.882668157806125286e+00  -1.934034772929625667e+00  -3.387821773534819059e+00  1.184025049209594727e+00
-7.238039284301338583e-01  -1.503419639807177077e+00  1.889574495542901023e+00  -1.873488178127300507e+00  -1.929419458917288388e+00  -3.384719394929381231e+00  1.225925922393798828e+00
-6.920936018999475081e-01  -1.505495855069089117e+00  1.895826759859101207e+00  -1.864966224526150462e+00  -1.920173501904851143e+00  -3.381525801240519158e+00  1.272119045257568359e+00
-6.577220911998473696e-01  -1.504633469255726830e+00  1.899119739595151346e+00  -1.859262926542299965e+00  -1.907534770461663420e+00  -3.378858753430569184e+00  1.315610885620117188e+00
-6.339748744684605697e-01  -1.502446633559564759e+00  1.899628236706863760e+00  -1.857052570065099495e+00  -1.897700958072713107e+00  -3.377352519618244120e+00  1.354346036911010742e+00
-5.980992712038490922e-01  -1.496984009012840566e+00  1.898066059810716411e+00  -1.855985677661086797e+00  -1.881375616655387439e+00  -3.375477968858844324e+00  1.396485090255737305e+00
-5.683756411084734950e-01  -1.490702039406790469e+00  1.894841230403391918e+00  -1.856974385878249478e+00  -1.866333884991774994e+00  -3.374239263541356504e+00  1.440834999084472656e+00
-5.335922295840358487e-01  -1.481669120202689705e+00  1.889128680034302121e+00  -1.860083691928235083e+00  -1.846738359203624391e+00  -3.373084536881744366e+00  1.484446048736572266e+00
-5.112940860265116072e-01  -1.474982994485627863e+00  1.884454638732552922e+00  -1.863090847365786118e+00  -1.832912015059648958e+00  -3.372477369094856847e+00  1.521796941757202148e+00
-4.796125652200231571e-01  -1.464162051411502574e+00  1.876350017838825934e+00  -1.868775634833548693e+00  -1.811247847757925022e+00  -3.371786580981644743e+00  1.568804979324340820e+00
-4.547061040920983288e-01  -1.454273015085353116e+00  1.868578387566914856e+00  -1.874525459281645823e+00  -1.792331039193087783e+00  -3.371329974853544797e+00  1.606255054473876953e+00
-4.310712476821718653e-01  -1.443508311147828849e+00  1.859881146873149760e+00  -1.881158922012733825e+00  -1.772783779219873956e+00  -3.370964865851720393e+00  1.646817922592163086e+00
-4.088600629071974524e-01  -1.432107394430403247e+00  1.850464867770273969e+00  -1.888492060853097954e+00  -1.753121521341873823e+00  -3.370671734642432860e+00  1.686042070388793945e+00
-3.882727007316235657e-01  -1.420369831041777609e+00  1.840643251094423505e+00  -1.896339223902970161e+00  -1.733906923827262858e+00  -3.370413941571520411e+00  1.725528955459594727e+00
-3.730973782752986523e-01  -1.410982472732402293e+00  1.832663523301086173e+00  -1.902815576232383066e+00  -1.719147321806738127e+00  -3.370318971454133283e+00  1.762212991714477539e+00
-3.558784200471105663e-01  -1.399566387045489968e+00  1.822831373331437632e+00  -1.910875959729285256e+00  -1.701828572264449946e+00  -3.370363699238696498e+00  1.799741983413696289e+00
-3.377456170684354220e-01  -1.386628817161290605e+00  1.811587711031497960e+00  -1.920249938665882894e+00  -1.683003046234436972e+00  -3.370572022600560658e+00  1.846200942993164062e+00
-3.271267987992096948e-01  -1.378528834502703582e+00  1.804492338054947353e+00  -1.926259691787134187e+00  -1.671699222004225049e+00  -3.370792793938509391e+00  1.881919860839843750e+00
-3.152948399034851690e-01  -1.369020663139429494e+00  1.796111567146686738e+00  -1.933441559901547535e+00  -1.658922894301188222e+00  -3.371147155782370675e+00  1.915360927581787109e+00
-3.069242332550601304e-01  -1.361964914053467091e+00  1.789850955752124051e+00  -1.938844956608672732e+00  -1.649759541498300841e+00  -3.371453164921508261e+00  1.949508905410766602e+00
-2.973475032290098241e-01  -1.353695920854766754e+00  1.782461222390937294e+00  -1.945247363197108115e+00  -1.639237980880187351e+00  -3.371809120831908757e+00  1.989537954330444336e+00
-2.337992980802354737e-01  -1.285432388552878891e+00  1.718735215709584541e+00  -2.004184471293417147e+00  -1.570620868275186766e+00  -3.375530640380415726e+00  2.810937881469726562e+00
-2.338402162593133937e-01  -1.285487858756127366e+00  1.718778405865534431e+00  -2.004176373160943214e+00  -1.570694941915846243e+00  -3.375517170163165215e+00  2.863455057144165039e+00
-2.338564028860119492e-01  -1.285495321617614373e+00  1.718793711282122105e+00  -2.004177364612694134e+00  -1.570727109058871918e+00  -3.375511572422327689e+00  2.889874935150146484e+00
-2.336074855764378455e-01  -1.285841664797150230e+00  1.719166865815459522e+00  -2.004220865480444758e+00  -1.570755732563396734e+00  -3.375238280767014931e+00  2.917383909225463867e+00
-2.327897147277129264e-01  -1.286885519684936696e+00  1.720298504200997280e+00  -2.004399880434469594e+00  -1.570780038417282753e+00  -3.374416597284139563e+00  2.943095922470092773e+00
-2.305261092706381021e-01  -1.289680709746548359e+00  1.723399143278734780e+00  -2.004919036421869194e+00  -1.570816735317434265e+00  -3.372125261932214624e+00  2.978528022766113281e+00
-2.258098866023630080e-01  -1.295548239691875381e+00  1.729918220812784790e+00  -2.005988335015867818e+00  -1.570805294527208851e+00  -3.367299316158740119e+00  3.015297889709472656e+00
-2.206574205905615926e-01  -1.302035696155849465e+00  1.737193806068197288e+00  -2.007117584466580951e+00  -1.570739383690833435e+00  -3.362014513007902661e+00  3.046746969223022461e+00
-2.144597766109370696e-01  -1.309863215738051423e+00  1.746146079570247478e+00  -2.008369145782182841e+00  -1.570577623418958346e+00  -3.355685189321902850e+00  3.082418918609619141e+00
-2.074216029360993474e-01  -1.318852520510988668e+00  1.756607087485197560e+00  -2.009744952881447944e+00  -1.570345410464883962e+00  -3.348504990963515393e+00  3.111499071121215820e+00
-1.996760077485868479e-01  -1.328819096072187733e+00  1.768383374055859880e+00  -2.011257841166347760e+00  -1.570106622745097269e+00  -3.340616717617240550e+00  3.139885902404785156e+00
-1.913933654674107032e-01  -1.339585306299412082e+00  1.781261277372022445e+00  -2.012906819240058098e+00  -1.569870820265972355e+00  -3.332189048432053102e+00  3.172669887542724609e+00
-1.827582359037487336e-01  -1.350909635750600302e+00  1.794958073578872604e+00  -2.014648898215444461e+00  -1.569650624143060114e+00  -3.323422406802652773e+00  3.206456899642944336e+00
-1.738818115928859598e-01  -1.362615074365088219e+00  1.809203362222984834e+00  -2.016474437557331356e+00  -1.569414363744535912e+00  -3.314459826137453380e+00  3.234834909439086914e+00
-1.648793588357229112e-01  -1.374503374807488854e+00  1.823749643118709685e+00  -2.018345766040493316e+00  -1.569188398035374021e+00  -3.305405787764440717e+00  3.269095897674560547e+00
-1.559017478903985676e-01  -1.386452972843727593e+00  1.838383157815484781e+00  -2.020250635034530617e+00  -1.569055068823199228e+00  -3.296334877052366163e+00  3.300579071044921875e+00
-1.492189839575486232e-01  -1.395391570690602379e+00  1.849343768314809733e+00  -2.021678692317992798e+00  -1.568995944055411762e+00  -3.289594804805140882e+00  3.328291893005371094e+00
-1.404018729301723667e-01  -1.407204549167101248e+00  1.863809609999647066e+00  -2.023564692885717164e+00  -1.569015558324124981e+00  -3.280759977167991170e+00  3.360190868377685547e+00
-1.296479469691105280e-01  -1.421690145074062883e+00  1.881443581685472433e+00  -2.025884772892206698e+00  -1.569038101846338407e+00  -3.270040806558128565e+00  3.395124912261962891e+00
-1.234120927417601266e-01  -1.430169883020464994e+00  1.891684523126009987e+00  -2.027252457986218559e+00  -1.569046521019888729e+00  -3.263837587610453728e+00  3.422307968139648438e+00
-1.153922029880725120e-01  -1.441149699471928614e+00  1.904856922358647564e+00  -2.029048468598031008e+00  -1.569058862663401221e+00  -3.255883150549715666e+00  3.458355903625488281e+00
-1.059115899081595202e-01  -1.454187325036727430e+00  1.920392459751385061e+00  -2.031204459865078249e+00  -1.568990691645764102e+00  -3.246523139565252958e+00  3.496800899505615234e+00
-9.883347903630923525e-02  -1.463939200679551078e+00  1.931950586442997553e+00  -2.032826143155375576e+00  -1.568863171311614124e+00  -3.239549262301940402e+00  3.525707006454467773e+00
-9.069538313232161642e-02  -1.475186129125113155e+00  1.945211752513860137e+00  -2.034710186685636302e+00  -1.568626988341451423e+00  -3.231547456157252363e+00  3.568168878555297852e+00
-8.188738061082201369e-02  -1.487315113001375977e+00  1.959408645255297454e+00  -2.036751760642912856e+00  -1.568329564071838433e+00  -3.222993111916751641e+00  3.616561889648437500e+00
-7.656645081188440116e-02  -1.494579998176650548e+00  1.967888927467110083e+00  -2.037987510184152029e+00  -1.568107085865563022e+00  -3.217880777579976037e+00  3.645324945449829102e+00
-7.167948430173520791e-02  -1.501231844189700126e+00  1.975630414690672465e+00  -2.039119649552025848e+00  -1.567902223899338310e+00  -3.213205146221876252e+00  3.677160024642944336e+00
-6.600630704663501547e-02  -1.508923957617735567e+00  1.984551374027397674e+00  -2.040420937747200014e+00  -1.567714260490163269e+00  -3.207813947136226140e+00  3.716827869415283203e+00
-2.054349096590968315e-02  -1.569360325229800956e+00  2.051448162039433143e+00  -2.052893079613674843e+00  -1.570852606111730942e+00  -3.162056438379448942e+00  4.523720026016235352e+00
-2.056958356910776331e-02  -1.569323678026787405e+00  2.051411589522855294e+00  -2.052861807068301125e+00  -1.570834937030295642e+00  -3.162091334127222986e+00  4.565708875656127930e+00
-2.058876035131973481e-02  -1.569287567051199872e+00  2.051373704974878365e+00  -2.052852125271314776e+00  -1.570835468452395745e+00  -3.162117961198111615e+00  4.594652891159057617e+00
-2.078587745581828017e-02  -1.568919434326574880e+00  2.050881695629502843e+00  -2.052724350098877437e+00  -1.570806460905345148e+00  -3.162305236576861134e+00  4.625746011734008789e+00
-2.212600471696646309e-02  -1.566363313858899708e+00  2.047466237581865300e+00  -2.051952860990439831e+00  -1.570684429850182973e+00  -3.163607810782645302e+00  4.663699865341186523e+00
-2.511641641859085894e-02  -1.560655610740212751e+00  2.039846236113204370e+00  -2.050234396695914896e+00  -1.570539534280120719e+00  -3.166505389802171777e+00  4.703629016876220703e+00
-2.977599814779097187e-02  -1.551756269615237827e+00  2.027979858000254154e+00  -2.047656005355902309e+00  -1.570377444690383761e+00  -3.170868124737584282e+00  4.741800069808959961e+00
-3.588975649292791559e-02  -1.540059350528962590e+00  2.012259380688091071e+00  -2.044394709343851702e+00  -1.570095035809983663e+00  -3.176502300068946738e+00  4.780440092086791992e+00
-4.160460488738948470e-02  -1.528980901895837796e+00  1.997229649285365838e+00  -2.041336765010975718e+00  -1.569739170302845821e+00  -3.181791411058647157e+00  4.816066980361938477e+00
-4.792848259212689754e-02  -1.516523022170475521e+00  1.980209599088293970e+00  -2.037923098997662663e+00  -1.569322206427496091e+00  -3.187694438780571460e+00  4.850135087966918945e+00
-5.476804418662695184e-02  -1.502853583517987701e+00  1.961362347442619836e+00  -2.034204658905425234e+00  -1.568961603839284180e+00  -3.194107162450320558e+00  4.877731084823608398e+00
-6.203509219608704939e-02  -1.488140979616700221e+00  1.940903495813891766e+00  -2.030213493124150226e+00  -1.568721536441421094e+00  -3.200912661727819852e+00  4.909867048263549805e+00
