q1     q2   q3   q4  q5   q6   t1
-6.035117859343142044e-02  -1.756131048925622551e+00  2.241564538572891507e+00  -1.901158835960963245e+00  -1.782905134145513770e+00  -3.098443673074012583e+00  1.593266963958740234e+00
-3.729577941351891468e-02  -1.741433414597472584e+00  2.226401284178940898e+00  -1.910449020270824860e+00  -1.760660588818688588e+00  -3.088326488469900433e+00  1.642514944076538086e+00
-1.938804948499406322e-02  -1.728377113088884975e+00  2.212949086648130503e+00  -1.919157063516511386e+00  -1.742270463147312931e+00  -3.080532448809900181e+00  1.680409908294677734e+00
3.671160397438200107e-04  -1.712311535791396722e+00  2.196444887182954275e+00  -1.930369612786336120e+00  -1.720925776410112462e+00  -3.071949893865312475e+00  1.724509954452514648e+00
1.240060180558131935e-02  -1.701668946564709906e+00  2.185539927914714298e+00  -1.938021795038999073e+00  -1.707395107222262176e+00  -3.066713694960375047e+00  1.761847019195556641e+00
2.871109067341881538e-02  -1.686244591127184833e+00  2.169757431492117306e+00  -1.949455939081659039e+00  -1.688532076492486489e+00  -3.059606408900100050e+00  1.807368993759155273e+00
3.843605656926881581e-02  -1.676483329814634438e+00  2.159793693236053969e+00  -1.956907605290570729e+00  -1.677018282363398782e+00  -3.055371872408137790e+00  1.843822002410888672e+00
4.934648663536880808e-02  -1.665003243460684068e+00  2.148081518873944162e+00  -1.965903118429709551e+00  -1.663879827054523197e+00  -3.050613422384675033e+00  1.879075050354003906e+00
5.714138006869381309e-02  -1.656464377600408433e+00  2.139380075227556688e+00  -1.972734654986659564e+00  -1.654356165149385660e+00  -3.047211319927212614e+00  1.914835929870605469e+00
6.246546761069381171e-02  -1.650449718269634047e+00  2.133261316673154440e+00  -1.977621512275536730e+00  -1.647780540802284754e+00  -3.044885434687912618e+00  1.939223051071166992e+00
6.888769969275630733e-02  -1.642977777962509656e+00  2.125660288288154121e+00  -1.983775709114075525e+00  -1.639821691767009426e+00  -3.042066553309512145e+00  1.970659971237182617e+00
7.618322389443130116e-02  -1.634293512066647303e+00  2.116837518341666780e+00  -1.990973824571675266e+00  -1.630772099571060174e+00  -3.038845714711224666e+00  2.008872032165527344e+00
1.258341591250431435e-01  -1.565970565532513348e+00  2.048017362268081953e+00  -2.052955883618564847e+00  -1.570645204720413801e+00  -3.015750357879593224e+00  2.819404125213623047e+00
1.257905861702184325e-01  -1.566036039995827522e+00  2.048082345645119595e+00  -2.052898834681052165e+00  -1.570700087531450961e+00  -3.015787205496593515e+00  2.889881134033203125e+00
1.271685756491686137e-01  -1.566879144825492176e+00  2.048453876998281853e+00  -2.054594470963891695e+00  -1.565192963544427940e+00  -3.019053745930202481e+00  2.972275972366333008e+00
1.348433982013060861e-01  -1.571561915592013747e+00  2.050382194709068795e+00  -2.061067023666740994e+00  -1.540287431193802625e+00  -3.037899579335215705e+00  3.047269105911254883e+00
1.511609128010810987e-01  -1.582415721016788623e+00  2.056070546501794549e+00  -2.052085776041979059e+00  -1.530427095737088905e+00  -3.073913912471192944e+00  3.124273061752319336e+00
1.552232097170685998e-01  -1.590505970443174988e+00  2.060580147150269603e+00  -2.040377726214865461e+00  -1.539219997328276079e+00  -3.098942064108044292e+00  3.176687002182006836e+00
1.516361071333189869e-01  -1.600732635333688592e+00  2.066310535031519180e+00  -2.023516585371740284e+00  -1.557114516222636524e+00  -3.129480734503271577e+00  3.234429121017456055e+00
