  q1     q2   q3   q4  q5   q6   t1
-1.040015045796529591e+00  -1.135257069264547169e+00  1.545124053955078125e+00  -2.096961323414937794e+00  -1.570206467305318654e+00  -3.570309225712911427e+00  0.000000000000000000e+00
-1.039978806172506154e+00  -1.135232750569478810e+00  1.545135974884033203e+00  -2.096937004719869435e+00  -1.570074860249654591e+00  -3.570333067570821584e+00  7.762694358825683594e-02
-1.042603794728414357e+00  -1.136539761220113576e+00  1.543759822845458984e+00  -2.098769013081685841e+00  -1.575222794209615529e+00  -3.569411102925435841e+00  1.619551181793212891e-01
-1.058246437703267873e+00  -1.147006336842672169e+00  1.534904956817626953e+00  -2.110935513173238576e+00  -1.607943360005513966e+00  -3.561771456395284474e+00  2.388510704040527344e-01
-1.068926636372701466e+00  -1.169161144887105763e+00  1.537776947021484375e+00  -2.120539490376607716e+00  -1.631110493336812794e+00  -3.548180643712179005e+00  3.064451217651367188e-01
-1.068662945424215138e+00  -1.190728966389791310e+00  1.552028179168701172e+00  -2.126622978840963185e+00  -1.635671917592183888e+00  -3.536314312611715138e+00  3.609459400177001953e-01
-1.064143482838765919e+00  -1.210258309041158498e+00  1.568708896636962891e+00  -2.129412953053609669e+00  -1.641431156788961232e+00  -3.526291910802022755e+00  4.079871177673339844e-01
-1.054063145314351857e+00  -1.233539883290426076e+00  1.589075088500976562e+00  -2.125593010579244435e+00  -1.658062283192769826e+00  -3.513707224522725880e+00  4.644799232482910156e-01
-1.041441265736715138e+00  -1.254459683095113576e+00  1.608196735382080078e+00  -2.116791073475972951e+00  -1.681087319050924123e+00  -3.502929989491597951e+00  5.167679786682128906e-01
-1.022682015095845998e+00  -1.283542935048238576e+00  1.635945796966552734e+00  -2.100661102925435841e+00  -1.716902081166402638e+00  -3.489028278981344044e+00  5.760729312896728516e-01
-1.005768601094381154e+00  -1.309150044118062794e+00  1.661422252655029297e+00  -2.083741013203756154e+00  -1.747306172047750294e+00  -3.476682726536886037e+00  6.309270858764648438e-01
-9.925702253924768570e-01  -1.327095333729879201e+00  1.680221080780029297e+00  -2.070041481648580373e+00  -1.768622223530904591e+00  -3.468480173741475880e+00  6.727991104125976562e-01
-9.742658774005334976e-01  -1.348470036183492482e+00  1.703028202056884766e+00  -2.051744286214010060e+00  -1.793903175984517873e+00  -3.458733383809224904e+00  7.244861125946044922e-01
-9.532874266253870132e-01  -1.369688336049215138e+00  1.726326942443847656e+00  -2.031985108052388966e+00  -1.818861786519185841e+00  -3.449177805577413380e+00  7.697420120239257812e-01
-9.341786543475549820e-01  -1.386458698903219044e+00  1.745425224304199219e+00  -2.014956776295797169e+00  -1.838623348866597951e+00  -3.441706005726949513e+00  8.128979206085205078e-01
