v1     v2   v3   v4  v5   v6   t1
0.000000000000000000e+00  -1.278317358810454607e-05  2.170582860708236694e-02  -3.238137811422348022e-02  2.751578204333782196e-02  0.000000000000000000e+00  0.000000000000000000e+00
0.000000000000000000e+00  -1.278317358810454607e-05  2.262621745467185974e-02  -1.855158060789108276e-02  -1.754490658640861511e-02  0.000000000000000000e+00  7.762694358825683594e-02
-4.507346823811531067e-02  -1.006035730242729187e-01  1.066116690635681152e-01  -6.533799320459365845e-02  -2.115215808153152466e-01  1.566098630428314209e-01  1.619551181793212891e-01
7.320923358201980591e-02  -3.316850066184997559e-01  3.406332135200500488e-01  -6.802245974540710449e-02  -5.595914125442504883e-01  5.399132966995239258e-01  2.388510704040527344e-01
4.532274305820465088e-01  -4.030918180942535400e-01  4.028744995594024658e-01  1.894226670265197754e-01  -4.711717963218688965e-01  7.126299738883972168e-01  3.064451217651367188e-01
4.592610597610473633e-01  -3.826387226581573486e-01  3.865631520748138428e-01  3.454093337059020996e-01  -5.209782719612121582e-01  7.549582719802856445e-01  3.609459400177001953e-01
3.731024861335754395e-01  -3.947188258171081543e-01  3.934149444103240967e-01  3.807628154754638672e-01  -4.996942579746246338e-01  7.879388332366943359e-01  4.079871177673339844e-01
3.338453471660614014e-01  -4.060575067996978760e-01  3.958053886890411377e-01  4.044196605682373047e-01  -4.859603345394134521e-01  8.490344285964965820e-01  4.644799232482910156e-01
2.835180163383483887e-01  -4.152869582176208496e-01  4.022864699363708496e-01  4.483778178691864014e-01  -5.418547391891479492e-01  8.868806362152099609e-01  5.167679786682128906e-01
2.126608788967132568e-01  -4.016600847244262695e-01  3.968664109706878662e-01  4.723462462425231934e-01  -5.925959944725036621e-01  8.960126042366027832e-01  5.760729312896728516e-01
1.818278580904006958e-01  -3.874835669994354248e-01  3.785992562770843506e-01  4.968899488449096680e-01  -6.052273511886596680e-01  8.948860764503479004e-01  6.309270858764648438e-01
2.056429088115692139e-01  -3.800053894519805908e-01  3.664552271366119385e-01  5.124694705009460449e-01  -5.806596875190734863e-01  9.045453667640686035e-01  6.727991104125976562e-01
2.577087879180908203e-01  -3.669921159744262695e-01  3.523042500019073486e-01  5.162085294723510742e-01  -5.190368294715881348e-01  8.940711617469787598e-01  7.244861125946044922e-01
3.005707561969757080e-01  -3.515628278255462646e-01  3.325158953666687012e-01  5.213137865066528320e-01  -4.600504338741302490e-01  8.821827769279479980e-01  7.697420120239257812e-01
3.465262651443481445e-01  -3.286553919315338135e-01  3.150540888309478760e-01  5.117504000663757324e-01  -3.927230536937713623e-01  8.674901127815246582e-01  8.128979206085205078e-01
3.761448860168457031e-01  -3.086369335651397705e-01  2.900629937648773193e-01  5.004372596740722656e-01  -3.330176472663879395e-01  8.412686586380004883e-01  8.553919792175292969e-01
4.052521586418151855e-01  -2.695332169532775879e-01  2.570568323135375977e-01  4.744554758071899414e-01  -2.459642440080642700e-01  8.015529513359069824e-01  9.130499362945556641e-01
4.266639947891235352e-01  -2.419343441724777222e-01  2.295218855142593384e-01  4.455255568027496338e-01  -1.780616194009780884e-01  7.692914009094238281e-01  9.525921344757080078e-01
4.977639913558959961e-01  -2.101681530475616455e-01  1.927319020032882690e-01  4.168113470077514648e-01  -1.184760555624961853e-01  7.258126139640808105e-01  1.004529953002929688e+00
5.712544322013854980e-01  -1.771236509084701538e-01  1.626914441585540771e-01  3.831596672534942627e-01  -6.078398972749710083e-02  6.917294859886169434e-01  1.041439056396484375e+00
6.398489475250244141e-01  -1.475178152322769165e-01  1.369077861309051514e-01  3.484773039817810059e-01  4.072239622473716736e-02  6.515823602676391602e-01  1.078649044036865234e+00
6.937939524650573730e-01  -1.155343204736709595e-01  1.002200767397880554e-01  3.012115061283111572e-01  1.062281727790832520e-01  6.130170822143554688e-01  1.122757911682128906e+00
7.456041574478149414e-01  -6.691991537809371948e-02  5.049353465437889099e-02  2.596022784709930420e-01  2.146854102611541748e-01  5.573383569717407227e-01  1.172131061553955078e+00
7.656226158142089844e-01  -2.610323950648307800e-02  1.347346510738134384e-02  2.168425768613815308e-01  2.782018184661865234e-01  5.186772942543029785e-01  1.216690063476562500e+00
7.672333121299743652e-01  2.214045636355876923e-02  -3.246926143765449524e-02  1.629614979028701782e-01  3.211772441864013672e-01  4.676963686943054199e-01  1.257326126098632812e+00
7.642420530319213867e-01  6.818544864654541016e-02  -8.057234436273574829e-02  1.079299375414848328e-01  3.635295033454895020e-01  4.345719814300537109e-01  1.299081087112426758e+00
7.495541572570800781e-01  1.267835199832916260e-01  -1.367799639701843262e-01  4.561196267604827881e-02  4.061214327812194824e-01  4.019509255886077881e-01  1.336597919464111328e+00
7.248187065124511719e-01  1.691213846206665039e-01  -1.823136210441589355e-01  -1.843173801898956299e-02  4.272136688232421875e-01  3.685628771781921387e-01  1.374490022659301758e+00
6.913651823997497559e-01  2.060647606849670410e-01  -2.170071601867675781e-01  -5.352155119180679321e-02  4.382870793342590332e-01  3.390577137470245361e-01  1.415636062622070312e+00
6.444381475448608398e-01  2.268118411302566528e-01  -2.387513369321823120e-01  -8.544752746820449829e-02  4.529797434806823730e-01  3.006842136383056641e-01  1.458997964859008789e+00
5.840631723403930664e-01  2.443887144327163696e-01  -2.568395137786865234e-01  -1.268170773983001709e-01  4.472512900829315186e-01  2.677755355834960938e-01  1.501100063323974609e+00
5.296707749366760254e-01  2.619783580303192139e-01  -2.738411426544189453e-01  -1.603249609470367432e-01  4.447825551033020020e-01  2.378628998994827271e-01  1.548444032669067383e+00
5.013560652732849121e-01  2.914308011531829834e-01  -3.019769191741943359e-01  -1.827594339847564697e-01  4.667136669158935547e-01  2.234099358320236206e-01  1.593266963958740234e+00
4.648473262786865234e-01  3.209599256515502930e-01  -3.278883993625640869e-01  -2.040673941373825073e-01  4.594272673130035400e-01  2.030846774578094482e-01  1.642514944076538086e+00
4.300643205642700195e-01  3.345356583595275879e-01  -3.429086208343505859e-01  -2.234099358320236206e-01  4.574378728866577148e-01  1.881044059991836548e-01  1.680409908294677734e+00
3.924562036991119385e-01  3.361718952655792236e-01  -3.455163836479187012e-01  -2.402837127447128296e-01  4.401566386222839355e-01  1.676353514194488525e-01  1.724509954452514648e+00
3.615464866161346436e-01  3.306240141391754150e-01  -3.411956727504730225e-01  -2.379348129034042358e-01  4.217728376388549805e-01  1.563941389322280884e-01  1.761847019195556641e+00
3.209599256515502930e-01  3.148367702960968018e-01  -3.201034367084503174e-01  -2.384141832590103149e-01  3.780304193496704102e-01  1.404790878295898438e-01  1.807368993759155273e+00
2.904592752456665039e-01  2.989089488983154297e-01  -3.068600893020629883e-01  -2.329973131418228149e-01  3.444985449314117432e-01  1.296453475952148438e-01  1.843822002410888672e+00
2.572741508483886719e-01  2.776505351066589355e-01  -2.860234975814819336e-01  -2.198146581649780273e-01  3.100558817386627197e-01  1.190752610564231873e-01  1.879075050354003906e+00
2.322447001934051514e-01  2.581306099891662598e-01  -2.608790099620819092e-01  -2.149970084428787231e-01  2.882925271987915039e-01  1.063959524035453796e-01  1.914835929870605469e+00
2.133256047964096069e-01  2.455136328935623169e-01  -2.488756030797958374e-01  -2.039715200662612915e-01  2.694053947925567627e-01  9.153551608324050903e-02  1.939223051071166992e+00
1.889353096485137939e-01  2.250861227512359619e-01  -2.292662113904953003e-01  -1.935692131519317627e-01  2.394687980413436890e-01  8.968994021415710449e-02  1.970659971237182617e+00
1.771236509084701538e-01  2.136196196079254150e-01  -2.169304490089416504e-01  -1.758325546979904175e-01  2.236975580453872681e-01  7.888016849756240845e-02  2.008872032165527344e+00
-1.866343314759433270e-03  -1.137702492997050285e-03  1.291100517846643925e-03  -1.188835129141807556e-02  -3.422694653272628784e-02  -1.605886151082813740e-03  2.819404125213623047e+00
-9.076053393073379993e-04  -1.150485593825578690e-03  1.712945289909839630e-03  2.857039310038089752e-02  -4.319114983081817627e-02  -5.752427969127893448e-04  2.889881134033203125e+00
4.651796817779541016e-02  -3.381149470806121826e-02  1.803705841302871704e-02  -5.936985090374946594e-02  1.949593722820281982e-01  -1.141377612948417664e-01  2.972275972366333008e+00
1.666542291641235352e-01  -9.542638808488845825e-02  4.460049420595169067e-02  -6.147907674312591553e-02  3.623550534248352051e-01  -3.553562462329864502e-01  3.047269105911254883e+00
1.816616803407669067e-01  -1.603521257638931274e-01  9.038981795310974121e-02  2.112818956375122070e-01  -8.599880337715148926e-02  -5.119181871414184570e-01  3.124273061752319336e+00
1.856116764247417450e-02  -1.726623177528381348e-01  9.848156571388244629e-02  2.704360187053680420e-01  -2.649472653865814209e-01  -5.363659858703613281e-01  3.176687002182006836e+00
-1.267835199832916260e-01  -1.919265687465667725e-01  1.064327061176300049e-01  3.325143158435821533e-01  -3.647758662700653076e-01  -5.601906180381774902e-01  3.234429121017456055e+00
-2.884395122528076172e-01  -2.046202570199966431e-01  1.172216981649398804e-01  3.632658421993255615e-01  -4.276690781116485596e-01  -5.920447111129760742e-01  3.307126045227050781e+00
-4.178563654422760010e-01  -2.138880640268325806e-01  7.963917404413223267e-02  3.730449676513671875e-01  -4.945650100708007812e-01  -6.083672046661376953e-01  3.400244951248168945e+00
-3.923283815383911133e-01  -1.921055316925048828e-01  -1.495631295256316662e-03  3.744111657142639160e-01  -5.806596875190734863e-01  -5.986120700836181641e-01  3.472902059555053711e+00
-2.647778689861297607e-01  -1.548553705215454102e-01  -4.935583472251892090e-02  3.450258374214172363e-01  -6.555371284484863281e-01  -5.785264968872070312e-01  3.517270088195800781e+00
-1.651713848114013672e-01  -1.056784987449645996e-01  -7.437250018119812012e-02  3.575853109359741211e-01  -5.164002776145935059e-01  -5.738047361373901367e-01  3.570809125900268555e+00
-1.108684614300727844e-01  -6.233075261116027832e-02  -9.736943244934082031e-02  3.960546851158142090e-01  -2.960103750228881836e-01  -5.868435502052307129e-01  3.625555992126464844e+00
-1.180526092648506165e-01  -2.162913046777248383e-02  -1.238817349076271057e-01  4.134078323841094971e-01  -1.691213846206665039e-01  -5.835359096527099609e-01  3.673273086547851562e+00
-2.117149233818054199e-01  3.148495778441429138e-02  -1.657849699258804321e-01  3.971332609653472900e-01  -9.719207137823104858e-02  -5.764412283897399902e-01  3.708769083023071289e+00
-3.529050648212432861e-01  9.546473622322082520e-02  -2.236671894788742065e-01  3.780304193496704102e-01  -2.116414159536361694e-02  -5.810431838035583496e-01  3.759491920471191406e+00
-5.073641538619995117e-01  1.793734878301620483e-01  -2.960327267646789551e-01  3.632658421993255615e-01  5.685316398739814758e-02  -5.858368873596191406e-01  3.813966035842895508e+00
-6.058713197708129883e-01  2.377542406320571899e-01  -3.416047394275665283e-01  3.369484841823577881e-01  9.407617151737213135e-02  -5.960474610328674316e-01  3.857499122619628906e+00
-7.034069299697875977e-01  2.987811267375946045e-01  -3.951278924942016602e-01  3.188762664794921875e-01  6.296511739492416382e-02  -5.936026573181152344e-01  3.904251098632812500e+00
-7.940523624420166016e-01  3.456442356109619141e-01  -4.394215941429138184e-01  2.897066771984100342e-01  9.779128246009349823e-03  -5.883775353431701660e-01  3.950891971588134766e+00
-8.639507889747619629e-01  3.867549002170562744e-01  -4.786531627178192139e-01  2.632934451103210449e-01  -5.124454945325851440e-02  -5.727021694183349609e-01  3.999288082122802734e+00
-9.276621341705322266e-01  4.273798465728759766e-01  -5.020335912704467773e-01  2.137027084827423096e-01  -4.062652587890625000e-02  -5.572425127029418945e-01  4.045838117599487305e+00
-9.659860730171203613e-01  4.617410004138946533e-01  -5.351291894912719727e-01  1.682345569133758545e-01  -5.110073834657669067e-02  -5.388107895851135254e-01  4.086264133453369141e+00
-9.918847680091857910e-01  5.110585093498229980e-01  -5.670487880706787109e-01  1.274642199277877808e-01  -5.726062878966331482e-02  -5.246214270591735840e-01  4.129485130310058594e+00
-1.001433849334716797e+00  5.601202845573425293e-01  -6.167241930961608887e-01  3.902063891291618347e-02  -9.251821786165237427e-03  -5.061657428741455078e-01  4.172964096069335938e+00
-9.880753755569458008e-01  5.901224017143249512e-01  -6.429680585861206055e-01  -1.915079168975353241e-02  5.433647707104682922e-02  -4.875422716140747070e-01  4.217416048049926758e+00
-9.627007842063903809e-01  6.064337491989135742e-01  -6.519674062728881836e-01  -5.563077330589294434e-02  9.036105871200561523e-02  -4.564791321754455566e-01  4.255203008651733398e+00
-9.229834675788879395e-01  6.087602972984313965e-01  -6.482347249984741211e-01  -1.098234429955482483e-01  1.379624009132385254e-01  -4.294906556606292725e-01  4.300692081451416016e+00
-8.719402551651000977e-01  6.019596457481384277e-01  -6.337769627571105957e-01  -1.454405635595321655e-01  1.618349850177764893e-01  -3.971332609653472900e-01  4.348093986511230469e+00
