  q1     q2   q3   q4  q5   q6   t1
-7.000988165484827164e-01  -1.499840084706441701e+00  1.999703407287597656e+00  -2.269759480153219044e+00  -1.570099178944722951e+00  -4.020562950764791310e+00  0.000000000000000000e+00
-7.001107374774377945e-01  -1.499803845082418263e+00  1.999739646911621094e+00  -2.269771401082174123e+00  -1.570219341908590138e+00  -4.020550791417257130e+00  7.762694358825683594e-02
-7.010219732867639664e-01  -1.501890007649556935e+00  2.001800060272216797e+00  -2.270994488392965138e+00  -1.574715439473287404e+00  -4.017076079045430959e+00  1.619551181793212891e-01
-7.050622145282190445e-01  -1.520506207142965138e+00  2.020573139190673828e+00  -2.280034844075338185e+00  -1.610287014638082326e+00  -3.987723414097921193e+00  2.388510704040527344e-01
-6.862877050982874039e-01  -1.544626061116353810e+00  2.045145511627197266e+00  -2.275286976491109669e+00  -1.642801109944478810e+00  -3.946581665669576466e+00  3.064451217651367188e-01
-6.599715391742151382e-01  -1.566360775624410451e+00  2.067357540130615234e+00  -2.258992497120992482e+00  -1.670519653950826466e+00  -3.905559603367940724e+00  3.609459400177001953e-01
-6.404174009906213882e-01  -1.585218254719869435e+00  2.086071491241455078e+00  -2.241043869649068654e+00  -1.695072476063863576e+00  -3.868539158497945607e+00  4.079871177673339844e-01
-6.207311789142053726e-01  -1.607444588338033498e+00  2.107948303222656250e+00  -2.219102207814351857e+00  -1.722238842641012013e+00  -3.822773043309346974e+00  4.644799232482910156e-01
-6.035507361041467789e-01  -1.630438629780904591e+00  2.130460739135742188e+00  -2.195325199757711232e+00  -1.750771824513570607e+00  -3.773915115986959279e+00  5.167679786682128906e-01
-5.897877852069299820e-01  -1.653301064168111623e+00  2.152900695800781250e+00  -2.169030014668599904e+00  -1.782961193715230763e+00  -3.724111382161275685e+00  5.760729312896728516e-01
-5.792010466205042007e-01  -1.675576035176412404e+00  2.174419403076171875e+00  -2.142063442860738576e+00  -1.816492859517232716e+00  -3.673684183751241505e+00  6.309270858764648438e-01
