   tau1     tau2   tau3   tau4  tau5   tau6   t1
-3.724999999999999839e-02  1.947499999999999787e-01  1.477499999999999925e-01  -3.091249999999999831e-01  3.591249999999999720e-01  2.953749999999999987e-01  0.000000000000000000e+00
-7.499999999999998855e-03  1.236250000000000127e-01  1.668749999999999956e-01  -2.852500000000000036e-01  -4.678750000000000409e-01  2.867500000000000049e-01  7.762694358825683594e-02
-3.009249999999999758e+00  -1.820500000000000007e+00  -1.908499999999999641e+00  -2.080000000000000071e+00  -6.275249999999999773e+00  1.075000000000000400e+00  1.619551181793212891e-01
1.165124999999999522e+00  -2.510874999999999080e+00  2.567375000000000185e+00  8.071250000000023128e-01  2.419625000000001691e+00  1.243375000000001451e+00  2.388510704040527344e-01
2.248125000000000817e+00  -1.092249999999995946e+00  3.261500000000000288e+00  3.012499999999890266e-02  3.470125000000000792e+00  2.749999999999974687e-01  3.064451217651367188e-01
1.594125000000000014e+00  -3.689999999999943325e-01  1.622125000000002037e+00  1.100749999999999229e+00  -8.287499999999996536e-01  1.517499999999991078e-01  3.609459400177001953e-01
1.695749999999999202e+00  -1.991250000000013842e-01  4.269999999999968265e-01  2.384624999999999773e+00  -3.294749999999999179e+00  1.454999999999997962e-01  4.079871177673339844e-01
1.408750000000000169e+00  -3.882500000000066454e-01  6.759999999999960485e-01  2.018249999999999211e+00  -3.400875000000004533e+00  5.749999999998811617e-03  4.644799232482910156e-01
6.287499999999973666e-01  -3.922500000000037068e-01  7.727500000000026015e-01  1.357000000000000428e+00  -1.760375000000008461e+00  -3.062500000000287215e-02  5.167679786682128906e-01
1.039999999999999258e-01  -5.299999999999749356e-02  3.372499999999972742e-01  8.666250000000027542e-01  1.295000000000046114e-01  -7.124999999999839795e-02  5.760729312896728516e-01
6.921250000000017666e-01  8.637499999999964650e-02  2.501250000000038165e-01  8.637499999999964650e-01  1.041249999999965814e-01  -1.387499999999999845e-01  6.309270858764648438e-01
1.145250000000000323e+00  5.050000000000193223e-02  2.899999999999985922e-01  8.949999999999999067e-01  -8.750000000001811884e-03  -1.147500000000002685e-01  6.727991104125976562e-01
1.106249999999996181e+00  1.061249999999985816e-01  2.006249999999959455e-01  6.382499999999998730e-01  1.638749999999938867e-01  -1.711250000000011373e-01  7.244861125946044922e-01
9.066249999999942411e-01  3.169999999999978391e-01  -3.937500000000121458e-02  3.566249999999993037e-01  5.456249999999940314e-01  -1.404999999999982652e-01  7.697420120239257812e-01
