q1     q2   q3   q4  q5   q6   t1
-1.039966677170962583e+00  -1.135240655705659130e+00  1.545155514022187981e+00  -2.097060233617099811e+00  -1.570045191072087398e+00  -3.570278084149519859e+00  0.000000000000000000e+00
-1.039973992840002026e+00  -1.135237568790596896e+00  1.545151483756785904e+00  -2.097071158205523034e+00  -1.570057098972373666e+00  -3.570271790073494600e+00  7.762694358825683594e-02
-1.043231323627452412e+00  -1.136998593965088844e+00  1.543328700268211229e+00  -2.099380675028671206e+00  -1.576543566706710919e+00  -3.568967951625920065e+00  1.619551181793212891e-01
-1.058538905975130007e+00  -1.147819441489289716e+00  1.535018364393661905e+00  -2.111256942936597270e+00  -1.608582260884688253e+00  -3.561252726680457670e+00  2.388510704040527344e-01
-1.068432447463894874e+00  -1.169972343487730271e+00  1.538777879365587076e+00  -2.120468029141296284e+00  -1.630205075216592192e+00  -3.547877412534045316e+00  3.064451217651367188e-01
-1.067965939891569072e+00  -1.191289596024343922e+00  1.553313238564699494e+00  -2.126574489989033978e+00  -1.635170935515713353e+00  -3.536320313730520581e+00  3.609459400177001953e-01
-1.063506218080230603e+00  -1.210636406630207773e+00  1.569539221142999708e+00  -2.128857754746471542e+00  -1.641769176451152390e+00  -3.526105721685058203e+00  4.079871177673339844e-01
-1.053138519165268683e+00  -1.233919897825348500e+00  1.589764106293049428e+00  -2.124646568945234293e+00  -1.659089865557550780e+00  -3.513713099255707739e+00  4.644799232482910156e-01
-1.040798933148480820e+00  -1.254848646684362024e+00  1.608798663107524396e+00  -2.116011471311171732e+00  -1.682210999052102807e+00  -3.502978482576970531e+00  5.167679786682128906e-01
-1.022400666979767614e+00  -1.283834747535276932e+00  1.636628901634223920e+00  -2.100035625270596285e+00  -1.717346280894354038e+00  -3.488849098078520505e+00  5.760729312896728516e-01
-1.005548327443568368e+00  -1.309201587137490463e+00  1.662093620874948829e+00  -2.083182745852596440e+00  -1.747540184730492996e+00  -3.476818340291445431e+00  6.309270858764648438e-01
-9.921865109924548065e-01  -1.327167508416341235e+00  1.680746214186398690e+00  -2.069454744617909014e+00  -1.768827386095006560e+00  -3.468477062150832957e+00  6.727991104125976562e-01
-9.737280850342173721e-01  -1.348525814902666653e+00  1.703642798571523898e+00  -2.051225510377822303e+00  -1.794211185639117190e+00  -3.458720368238358045e+00  7.244861125946044922e-01
-9.527879583237170991e-01  -1.369513305764868960e+00  1.726843572595598841e+00  -2.031533958121997330e+00  -1.818976521849808847e+00  -3.449333028526770928e+00  7.697420120239257812e-01
-9.338533776718804802e-01  -1.386483317089830081e+00  1.746064053979161201e+00  -2.014477965426921813e+00  -1.838596434137647506e+00  -3.441852052659820416e+00  8.128979206085205078e-01
-9.099139746660673822e-01  -1.405942689985840488e+00  1.768630169576623778e+00  -1.993683441573847581e+00  -1.860238178047387336e+00  -3.433292812769457303e+00  8.553919792175292969e-01
-8.811003527815168823e-01  -1.427021891449964386e+00  1.793671746576623649e+00  -1.969675760814397769e+00  -1.882009740337203141e+00  -3.423939588873219364e+00  9.130499362945556641e-01
-8.602458951308031843e-01  -1.440838266691015335e+00  1.810482350885386005e+00  -1.953039066935010837e+00  -1.894922136249753919e+00  -3.417766150564407468e+00  9.525921344757080078e-01
-8.352249005419034589e-01  -1.455867609661140705e+00  1.829224176109873534e+00  -1.933945110398424205e+00  -1.907319198090268841e+00  -3.410930739509057563e+00  1.004529953002929688e+00
-8.145273108677164586e-01  -1.466991841302766275e+00  1.843536589736485931e+00  -1.918963003383936439e+00  -1.915075962151082223e+00  -3.405646137287257957e+00  1.041439056396484375e+00
-7.940012962710545352e-01  -1.476832518129779004e+00  1.856600763025860745e+00  -1.904946699668923493e+00  -1.920557623559956184e+00  -3.400744076822207695e+00  1.078649044036865234e+00
-7.735706318996671271e-01  -1.485354731124118643e+00  1.868276111119460792e+00  -1.892088562396311069e+00  -1.923839545793521566e+00  -3.396263145776682091e+00  1.122757911682128906e+00
-7.490876103201538072e-01  -1.493669360194056495e+00  1.880372980816660933e+00  -1.878319738289286889e+00  -1.924948162019345155e+00  -3.391457376928720180e+00  1.172131061553955078e+00
-7.242812316369411363e-01  -1.499764389555942046e+00  1.890132920430748431e+00  -1.866674533267024927e+00  -1.922891706103195375e+00  -3.387255700834957306e+00  1.216690063476562500e+00
-7.021692030593280620e-01  -1.502881774618956001e+00  1.896298524429335997e+00  -1.858834500801300749e+00  -1.918345659993781815e+00  -3.384191990393094596e+00  1.257326126098632812e+00
