a1     a2   a3   a4  a5   a6   t1
3.141592653589793116e+00  -4.530386898624472192e-02  -2.209209263695884745e-02  3.754028781981254004e-01  2.734710644139843883e+00  3.797905662467658816e-01  0.000000000000000000e+00
-3.134397861267361751e+00  -1.119105087853895231e-01  3.161476712094478392e-02  4.509852735420240011e-01  -3.093445960694063857e+00  4.717962528498653163e-01  7.762694358825683594e-02
3.141592653589793116e+00  3.701689443114525302e-02  -9.584207839152324160e-02  7.340970363246100971e-01  3.141592653589793116e+00  5.626110721663213354e-01  1.619551181793212891e-01
3.141592653589793116e+00  6.144184520240891789e-01  -6.876014077996647211e-01  7.497330479500740053e-01  3.141592653589793116e+00  1.397649295302632981e-02  2.388510704040527344e-01
3.141592653589793116e+00  9.864366363076542132e-01  -1.058565172044396707e+00  2.827860543137638016e-01  3.141592653589793116e+00  -2.019300924809378228e-01  3.064451217651367188e-01
3.141592653589793116e+00  9.109383538523143642e-01  -9.831876818964349063e-01  -2.340499987223052247e-01  3.141592653589793116e+00  -2.966796371667034804e-01  3.609459400177001953e-01
3.141592653589793116e+00  1.097774810633879161e+00  -1.165609320851335173e+00  -3.610717383120338742e-01  2.972555113337115085e+00  -3.355747444646095534e-01  4.079871177673339844e-01
3.141592653589793116e+00  1.228250461585598918e+00  -1.269875911685988790e+00  -4.948251730779324453e-01  3.141592653589793116e+00  -4.707415529538848675e-01  4.644799232482910156e-01
2.246988802444709332e+00  3.141592626083711703e+00  -3.141592642684869485e+00  -3.141592542875827121e+00  3.141592598866888242e+00  -8.985309215559764695e-01  5.167679786682128906e-01
1.877691908754910877e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -9.262344958556222307e-01  5.760729312896728516e-01
1.569858589715398045e+00  3.141592596624875000e+00  -3.141592625047100018e+00  -3.141592492641508194e+00  3.141592411833325826e+00  -9.464575705216859980e-01  6.309270858764648438e-01
1.316750979976844871e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -9.716256280016926095e-01  6.727991104125976562e-01
1.001851671913558839e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592652012290987e+00  -9.898899498966599042e-01  7.244861125946044922e-01
6.935844694454760262e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592648066415361e+00  -1.005832114303249369e+00  7.697420120239257812e-01
5.133672402473360430e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592641958729892e+00  -1.017814907427521787e+00  8.128979206085205078e-01
-1.024610021688001193e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592617673426791e+00  -1.015263922022060283e+00  8.553919792175292969e-01
-1.201906654014721187e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592423262263178e+00  -1.010871545188872123e+00  9.130499362945556641e-01
-1.504928582985773255e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  7.162032571888452548e-01  -9.972761495465470860e-01  9.525921344757080078e-01
-1.641696847442281948e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  5.614742151075566845e-01  -9.791134651561397284e-01  1.004529953002929688e+00
-1.808459542185180791e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  4.169611894913973771e-01  -9.859047130935710834e-01  1.041439056396484375e+00
-1.883650124186604158e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  -3.687247330331903106e-01  -1.011417209864348354e+00  1.078649044036865234e+00
-2.093099516158915652e+00  3.105252936470205949e+00  -3.122444533006274003e+00  -3.091017879359148068e+00  -1.178749272379755908e+00  -1.063020681008220114e+00  1.122757911682128906e+00
-1.981612998168251982e+00  1.558567930958306480e+00  -1.677020967778565907e+00  -2.169542762338375397e+00  -1.498607514301854904e+00  -1.027206966073273220e+00  1.172131061553955078e+00
-2.090866911260348182e+00  8.934334697063676112e-01  -8.334626053666021051e-01  -1.893715640658277577e+00  -1.887519421405968290e+00  -1.015985687551110406e+00  1.216690063476562500e+00
-2.195324175943896616e+00  5.618305790515771836e-01  -4.469110202416625710e-01  -1.724953675492811422e+00  -2.131295675476495344e+00  -9.927205791432537341e-01  1.257326126098632812e+00
-2.193718082647322820e+00  -2.027584114526212455e-01  4.560401713066044582e-01  -1.289452812912492030e+00  -2.339966340609954010e+00  -9.934590065114612401e-01  1.299081087112426758e+00
-2.235618056706239365e+00  -1.163807635364644488e+00  1.422148325007810410e+00  -8.406080088818126406e-01  -2.490751726389401455e+00  -9.818474853920433620e-01  1.336597919464111328e+00
-2.265230039335502710e+00  -1.646197583402974063e+00  1.936947868059384126e+00  -5.321638377721616964e-01  -2.622009427890122257e+00  -9.649569533785614661e-01  1.374490022659301758e+00
-2.240308329808360810e+00  -2.669525243739721443e+00  2.730399192887398296e+00  2.164379152122079208e+00  -2.667792035610903945e+00  -9.934399981360849674e-01  1.415636062622070312e+00
-2.222787862631338651e+00  -2.816785120634690998e+00  2.866686499869839810e+00  2.315220217162187399e+00  -2.729535788991043432e+00  -9.655644319485977567e-01  1.458997964859008789e+00
-2.216901401652634274e+00  -2.887224177340427911e+00  2.914828325897050654e+00  2.580465820814823896e+00  -2.711386761911405152e+00  -9.893428901711520673e-01  1.501100063323974609e+00
-2.223132596681583362e+00  -2.983622770026306714e+00  3.014359939227062135e+00  2.586054501853464860e+00  -2.728696180273521676e+00  -9.903463807660425333e-01  1.548444032669067383e+00
-2.307196018431760809e+00  -3.113981234904926065e+00  3.141592653589793116e+00  2.701632976177804846e+00  -2.800681881508980453e+00  -1.026213003595638495e+00  1.593266963958740234e+00
-2.266770234545996576e+00  -3.111852672717597912e+00  3.141592653589793116e+00  2.775634649607305882e+00  -2.759529530019583010e+00  -1.015411657186416239e+00  1.642514944076538086e+00
-2.251045865982773009e+00  -3.116797565198168307e+00  3.141592653589793116e+00  2.801910785819432537e+00  -2.727320706220656366e+00  -1.011030062281968123e+00  1.680409908294677734e+00
-2.216926102560464518e+00  -3.124213194915035352e+00  3.141592653589793116e+00  2.837054970190072467e+00  -2.691550160040239614e+00  -1.010554430375287582e+00  1.724509954452514648e+00
-2.257039389811325680e+00  -3.131525674706593598e+00  3.141592505412052372e+00  2.897065746587331514e+00  -2.695853507625750378e+00  -1.072473291303771337e+00  1.761847019195556641e+00
-2.206907301911920527e+00  -3.123995419002389529e+00  3.141592653589793116e+00  2.890735588388968935e+00  -2.643763554977189845e+00  -1.047083715515142011e+00  1.807368993759155273e+00
-2.211351901455134605e+00  -3.135293705004841058e+00  3.141592653589793116e+00  2.915160001333529038e+00  -2.643694587471583812e+00  -1.038502183735250606e+00  1.843822002410888672e+00
-2.207605261822608522e+00  -3.140558950729320120e+00  3.141592653589793116e+00  2.956431115031750601e+00  -2.617865571597646657e+00  -1.016650204207069086e+00  1.879075050354003906e+00
-2.176924393515908829e+00  -3.124602675503574289e+00  3.141592653589793116e+00  2.902229778875943023e+00  -2.530568073455913947e+00  -1.017714393152490571e+00  1.914835929870605469e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.939223051071166992e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.970659971237182617e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  2.008872032165527344e+00
-3.141592653589793116e+00  1.163753056200814928e+00  -1.495835488465263818e+00  1.944593054434142487e-01  -2.706227844392049331e+00  -8.459852467919081187e-01  2.819404125213623047e+00
-2.797150853943774607e+00  1.029464187445381373e+00  -1.310181572454407251e+00  1.026497574433491849e-01  3.141592653589793116e+00  -6.350667930498983260e-01  2.889881134033203125e+00
2.383994275056691148e+00  1.141202229358167175e+00  -1.379301000430242619e+00  2.240077767821197607e+00  3.141592653589793116e+00  -5.902483297125924455e-01  2.972275972366333008e+00
1.018724252605840430e+00  1.246288082295720745e+00  -1.440358832092683672e+00  2.936617526727469119e-01  3.141592653589793116e+00  -4.156860181343993155e-01  3.047269105911254883e+00
2.976062226081466644e+00  1.418205369305334695e+00  -1.572193222817114711e+00  6.198511067761920401e-01  3.141592653589793116e+00  -2.716898506082636722e-01  3.124273061752319336e+00
3.126596471919595110e+00  1.458953066110745045e+00  -1.597489907613437232e+00  4.951471436746117671e-01  3.141592653589793116e+00  -2.103393504989870544e-01  3.176687002182006836e+00
3.141592653589793116e+00  1.524540288347389971e+00  -9.807016987488624826e-01  3.550245485727813177e-01  3.141592653589793116e+00  -1.892738014340807351e-01  3.234429121017456055e+00
-1.344083664791307919e+00  1.824286700072322187e+00  -6.355281140036999066e-01  1.292654727174097795e+00  3.141592653589793116e+00  -1.803428134716446030e-01  3.307126045227050781e+00
-3.141592653589793116e+00  2.260607265322968740e+00  -2.334573148895406458e+00  -6.998208443127554856e-01  3.991016043648710765e-01  -1.155355755636515158e-01  3.400244951248168945e+00
-3.141592653589793116e+00  2.327912794192920742e+00  -2.194544391988410670e+00  -7.975006055866097343e-01  6.742477091790967103e-01  -8.748992561226533182e-02  3.472902059555053711e+00
-3.141592653589793116e+00  2.348081648024327617e+00  -2.144213129383558236e+00  -7.935359236505615810e-01  8.945003842209152678e-01  -9.660149108149590491e-02  3.517270088195800781e+00
-3.141592618833876749e+00  2.959918461674682089e+00  -2.774895942796958614e+00  -1.024148236489834440e+00  9.807217959856064926e-01  -4.398703967711047741e-02  3.570809125900268555e+00
9.266933550719138601e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  2.581363052282702464e-01  2.916668337503413588e-01  3.625555992126464844e+00
1.066649462103138823e+00  2.686883247339658887e+00  -2.505534857237091462e+00  -2.875110199280566992e+00  1.433579585349836483e-01  3.017402279329721715e-01  3.673273086547851562e+00
2.014520392128094972e+00  2.554465128777113847e+00  -2.415168664855921410e+00  -2.947108878995089665e+00  1.073253833960906463e-02  3.382729131634727437e-01  3.708769083023071289e+00
3.141592653589793116e+00  2.181788737540589107e+00  -1.348789626887576532e+00  -3.141592653589793116e+00  1.615474705080511830e+00  4.613389201859361410e-01  3.759491920471191406e+00
2.866556811049661757e+00  2.227747601728188975e+00  -1.517787610608906546e+00  -3.141592553314871417e+00  1.357509449934201085e+00  4.910253683230483834e-01  3.813966035842895508e+00
2.568236747146206422e+00  1.829540057306220158e+00  -1.143941568499848405e+00  -3.141592653589793116e+00  1.203739523285126012e+00  5.470519765704375814e-01  3.857499122619628906e+00
2.514952788793404448e+00  9.759765017370800599e-01  -3.579036880151289512e-01  -3.141592653589793116e+00  1.324715242063332576e+00  6.197356805539148139e-01  3.904251098632812500e+00
2.535985462593045803e+00  -1.132803915344152479e+00  1.656864521681808089e+00  -3.141592653589793116e+00  1.895336110711403732e+00  7.113408669825532771e-01  3.950891971588134766e+00
2.749156368174486165e+00  -3.045283077831532736e+00  3.095291138110393803e+00  -2.556632819130396417e+00  2.578282199224716909e+00  7.944714885624493128e-01  3.999288082122802734e+00
2.681531310134392054e+00  -3.052275912440905792e+00  3.102808318386039765e+00  -1.125566117892362161e+00  7.453461376314416409e-01  8.318512630300095578e-01  4.045838117599487305e+00
2.697195210918118757e+00  -3.023166628206827689e+00  3.056366798174375177e+00  -1.033553556161525222e+00  7.405446885832716042e-01  8.337861193096531842e-01  4.086264133453369141e+00
2.772046194782561201e+00  -3.109227846841424725e+00  3.141592653589793116e+00  -9.565553781037259284e-01  7.421608427878798597e-01  8.721898413395204885e-01  4.129485130310058594e+00
2.924518030727030649e+00  -3.131476421929161091e+00  3.141592653589793116e+00  -7.279683090921824640e-01  7.193087185037163600e-01  9.093892650680528433e-01  4.172964096069335938e+00
2.943048103169440211e+00  -3.141592653589793116e+00  3.140339917766175937e+00  -5.780841844395006035e-01  5.583699286960204233e-01  9.342829173571751689e-01  4.217416048049926758e+00
2.977695307932320290e+00  -3.141592653589793116e+00  3.134658588803672430e+00  -4.730975619443065772e-01  4.531814894223845092e-01  9.282498248283679310e-01  4.255203008651733398e+00
2.758999535566877714e+00  -3.141592653589793116e+00  3.122823982313351454e+00  7.052892919921671666e-02  3.850785434696923221e-03  9.459769374968446387e-01  4.300692081451416016e+00
2.716350198661793947e+00  -3.141592653589793116e+00  3.120081440550483087e+00  2.677450755225562751e-01  -1.505725854677061881e-01  9.428808294950752344e-01  4.348093986511230469e+00
2.554975553752420137e+00  -3.141592653589793116e+00  3.122863638945064579e+00  1.752896437347296166e+00  -1.562923847630482310e+00  1.163640446646197368e+00  4.385823965072631836e+00
2.492818368032198695e+00  -3.141592653589793116e+00  3.135961740528355524e+00  1.857734075233172133e+00  -1.656497378224715433e+00  1.160509112591172620e+00  4.423205137252807617e+00
2.163657765741296313e+00  -3.141592528450366739e+00  3.124810599624476826e+00  2.410979167601514650e+00  -2.246632421112943145e+00  1.397053851271724989e+00  4.471358060836791992e+00
2.094887621986370796e+00  -3.141592653589793116e+00  3.110811508963435834e+00  2.435611111169091902e+00  -2.245406449984179709e+00  1.394464860259285066e+00  4.514864921569824219e+00
2.045031055659152663e+00  -3.141592653589793116e+00  3.125495543767212059e+00  2.512608916279797544e+00  -2.315343596935429016e+00  1.413797962238503736e+00  4.558875083923339844e+00
2.006616854526366289e+00  -3.141592653589793116e+00  3.128279487306297124e+00  2.558593226350294625e+00  -2.346915549424276826e+00  1.428926643449866196e+00  4.596605062484741211e+00
1.959703507544630074e+00  -3.141592540349727791e+00  3.115467204591553241e+00  2.580243647846481192e+00  -2.371481562647287600e+00  1.441487748367586086e+00  4.637047052383422852e+00
1.769989673539766661e+00  -3.141592653589793116e+00  3.124851612803891676e+00  2.667980842986187984e+00  -2.452656076365036686e+00  1.698532865108843604e+00  4.675396919250488281e+00
1.780427161592218255e+00  -3.141592629772244738e+00  3.133117474193706897e+00  2.682670267429521971e+00  -2.375392788919093778e+00  1.675695809502774303e+00  4.716756105422973633e+00
1.721101286347043624e+00  -3.141592653589793116e+00  3.114602527096282270e+00  2.738526636966525096e+00  -2.411765972236419753e+00  1.742789843867703636e+00  4.770008087158203125e+00
1.735726727954067128e+00  -3.141592653589793116e+00  3.132931088125578523e+00  2.769676757052043747e+00  -2.372367958229582907e+00  1.791159889906975833e+00  4.815212965011596680e+00
1.692527614345185727e+00  -3.141592035715758957e+00  3.129937764561182334e+00  2.846433807295635887e+00  -2.430087915660804843e+00  1.789640772783571476e+00  4.865121126174926758e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  4.901504993438720703e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  4.942274093627929688e+00
