v1     v2   v3   v4  v5   v6   t1
-3.119999999999999944e-04  4.929999999999999487e-04  6.080000000000000335e-04  -1.106999999999999911e-03  1.629999999999999939e-03  7.879999999999999635e-04  0.000000000000000000e+00
-1.930000000000000021e-04  4.970000000000000459e-04  6.930000000000000396e-04  -1.515000000000000071e-03  -1.778000000000000067e-03  1.629000000000000023e-03  7.762694358825683594e-02
-1.204530000000000045e-01  -6.696799999999999975e-02  -6.914499999999999813e-02  -8.696600000000000164e-02  -2.443269999999999886e-01  4.917200000000000043e-02  1.619551181793212891e-01
-2.310290000000000121e-01  -2.254369999999999985e-01  -9.226700000000000179e-02  -1.838589999999999947e-01  -4.845700000000000007e-01  1.504880000000000106e-01  2.388510704040527344e-01
-5.759299999999999836e-02  -3.589769999999999905e-01  1.700909999999999922e-01  -1.006350000000000022e-01  -1.591839999999999922e-01  2.038929999999999909e-01  3.064451217651367188e-01
5.236600000000000282e-02  -3.926319999999999810e-01  3.122719999999999940e-01  -1.019540000000000030e-01  -7.366699999999999637e-02  2.080950000000000022e-01  3.609459400177001953e-01
1.243869999999999976e-01  -4.088510000000000200e-01  3.499269999999999881e-01  -4.949999999999999973e-04  -1.989630000000000010e-01  2.164570000000000105e-01  4.079871177673339844e-01
2.273280000000000023e-01  -4.229280000000000261e-01  3.731829999999999870e-01  1.298209999999999920e-01  -3.949730000000000185e-01  2.231059999999999988e-01  4.644799232482910156e-01
2.734059999999999824e-01  -4.453010000000000024e-01  4.135150000000000214e-01  2.111969999999999958e-01  -5.316570000000000462e-01  2.231769999999999865e-01  5.167679786682128906e-01
2.938319999999999821e-01  -4.550279999999999880e-01  4.479699999999999793e-01  2.760730000000000128e-01  -5.495269999999999877e-01  2.187890000000000112e-01  5.760729312896728516e-01
3.117650000000000143e-01  -4.504199999999999871e-01  4.610620000000000274e-01  3.216209999999999902e-01  -5.337520000000000042e-01  2.116760000000000030e-01  6.309270858764648438e-01
3.511000000000000232e-01  -4.485250000000000070e-01  4.700590000000000046e-01  3.575010000000000132e-01  -5.319089999999999652e-01  2.066610000000000114e-01  6.727991104125976562e-01
4.081589999999999940e-01  -4.425270000000000037e-01  4.813339999999999841e-01  3.940810000000000146e-01  -5.259580000000000366e-01  2.003989999999999938e-01  7.244861125946044922e-01
4.548789999999999778e-01  -4.316139999999999977e-01  4.836710000000000176e-01  4.195880000000000165e-01  -5.062670000000000226e-01  1.920330000000000092e-01  7.697420120239257812e-01
4.841199999999999948e-01  -4.192330000000000223e-01  4.779019999999999935e-01  4.303830000000000156e-01  -4.782910000000000217e-01  1.836530000000000107e-01  8.128979206085205078e-01
5.070350000000000135e-01  -3.943960000000000243e-01  4.613789999999999836e-01  4.324100000000000166e-01  -4.289819999999999744e-01  1.741060000000000108e-01  8.553919792175292969e-01
5.198180000000000023e-01  -3.612119999999999775e-01  4.350609999999999755e-01  4.247659999999999769e-01  -3.564390000000000058e-01  1.610159999999999925e-01  9.130499362945556641e-01
5.224830000000000307e-01  -3.339929999999999843e-01  4.100019999999999776e-01  4.101650000000000018e-01  -2.991610000000000102e-01  1.498470000000000080e-01  9.525921344757080078e-01
5.193149999999999711e-01  -2.977429999999999799e-01  3.753170000000000117e-01  3.870520000000000072e-01  -2.286259999999999959e-01  1.371999999999999886e-01  1.004529953002929688e+00
5.164469999999999894e-01  -2.650939999999999963e-01  3.457959999999999923e-01  3.656249999999999778e-01  -1.705790000000000084e-01  1.286410000000000053e-01  1.041439056396484375e+00
5.114509999999999890e-01  -2.327309999999999934e-01  3.127759999999999985e-01  3.390230000000000188e-01  -1.145710000000000062e-01  1.185439999999999966e-01  1.078649044036865234e+00
5.093469999999999942e-01  -1.993240000000000012e-01  2.777390000000000136e-01  3.092610000000000081e-01  -6.037399999999999711e-02  1.078419999999999934e-01  1.122757911682128906e+00
5.107930000000000526e-01  -1.549490000000000034e-01  2.324789999999999912e-01  2.698889999999999900e-01  3.924000000000000404e-03  9.441700000000000093e-02  1.172131061553955078e+00
5.265900000000000025e-01  -1.055100000000000066e-01  1.818160000000000054e-01  2.223259999999999958e-01  7.249200000000000088e-02  8.251500000000000501e-02  1.216690063476562500e+00
5.752469999999999528e-01  -5.847999999999999726e-02  1.345000000000000084e-01  1.778500000000000081e-01  1.422690000000000066e-01  7.283399999999999597e-02  1.257326126098632812e+00
6.323579999999999757e-01  -4.231000000000000386e-03  7.989400000000000668e-02  1.234039999999999998e-01  2.086459999999999981e-01  6.288900000000000046e-02  1.299081087112426758e+00
6.793369999999999687e-01  5.166899999999999965e-02  2.276200000000000098e-02  6.577800000000000313e-02  2.639610000000000012e-01  5.347500000000000170e-02  1.336597919464111328e+00
7.062319999999999709e-01  1.028700000000000031e-01  -2.947900000000000173e-02  1.459900000000000087e-02  3.059729999999999950e-01  4.464100000000000013e-02  1.374490022659301758e+00
7.141889999999999628e-01  1.421590000000000076e-01  -7.358099999999999363e-02  -2.934000000000000150e-02  3.368809999999999860e-01  3.658600000000000046e-02  1.415636062622070312e+00
7.041789999999999994e-01  1.695309999999999873e-01  -1.082850000000000062e-01  -6.411500000000000532e-02  3.614229999999999943e-01  2.952199999999999963e-02  1.458997964859008789e+00
6.852139999999999898e-01  1.917290000000000105e-01  -1.354319999999999968e-01  -9.236800000000000566e-02  3.840660000000000185e-01  2.349100000000000146e-02  1.501100063323974609e+00
6.533619999999999983e-01  2.129089999999999872e-01  -1.624899999999999956e-01  -1.204179999999999973e-01  4.122100000000000208e-01  1.701300000000000034e-02  1.548444032669067383e+00
6.326889999999999459e-01  2.420489999999999864e-01  -1.922000000000000097e-01  -1.502000000000000002e-01  4.528730000000000255e-01  1.201799999999999917e-02  1.593266963958740234e+00
6.031469999999999887e-01  2.695589999999999931e-01  -2.198259999999999936e-01  -1.769840000000000024e-01  4.802370000000000250e-01  6.775999999999999905e-03  1.642514944076538086e+00
5.721699999999999564e-01  2.871449999999999836e-01  -2.391770000000000007e-01  -1.950890000000000124e-01  4.901380000000000181e-01  5.211000000000000354e-03  1.680409908294677734e+00
5.326699999999999768e-01  2.953669999999999907e-01  -2.496919999999999973e-01  -2.069979999999999876e-01  4.848870000000000124e-01  1.771999999999999921e-03  1.724509954452514648e+00
4.874970000000000137e-01  2.934229999999999894e-01  -2.531340000000000257e-01  -2.132620000000000071e-01  4.663109999999999755e-01  1.087000000000000076e-03  1.761847019195556641e+00
4.285109999999999753e-01  2.824249999999999816e-01  -2.475050000000000028e-01  -2.105940000000000034e-01  4.303370000000000251e-01  -1.038999999999999993e-03  1.807368993759155273e+00
3.907439999999999802e-01  2.697479999999999878e-01  -2.381340000000000123e-01  -2.052769999999999873e-01  4.009900000000000131e-01  -2.291000000000000068e-03  1.843822002410888672e+00
3.415389999999999815e-01  2.525589999999999780e-01  -2.250250000000000028e-01  -1.964180000000000093e-01  3.615099999999999980e-01  -3.373000000000000130e-03  1.879075050354003906e+00
3.073159999999999781e-01  2.387469999999999870e-01  -2.129139999999999922e-01  -1.879800000000000082e-01  3.290770000000000084e-01  -3.353000000000000078e-03  1.914835929870605469e+00
2.815039999999999765e-01  2.263689999999999869e-01  -2.033699999999999952e-01  -1.803609999999999935e-01  3.055720000000000103e-01  -3.925999999999999802e-03  1.939223051071166992e+00
2.505600000000000049e-01  2.082380000000000064e-01  -1.891329999999999956e-01  -1.687909999999999966e-01  2.752510000000000234e-01  -3.609999999999999928e-03  1.970659971237182617e+00
2.378659999999999941e-01  1.995280000000000109e-01  -1.815039999999999987e-01  -1.620810000000000028e-01  2.613099999999999867e-01  -3.531999999999999983e-03  2.008872032165527344e+00
-9.709999999999999664e-04  -2.115000000000000126e-03  1.038999999999999993e-03  -1.052999999999999900e-03  -2.626999999999999995e-03  1.210000000000000002e-04  2.819404125213623047e+00
-5.389999999999999826e-04  2.120000000000000031e-04  9.510000000000000224e-04  -1.196999999999999930e-03  -3.112999999999999882e-03  1.350000000000000017e-04  2.889881134033203125e+00
6.037800000000000111e-02  -6.718499999999999472e-02  6.824800000000000311e-02  7.602200000000000624e-02  1.814500000000000002e-01  -5.964499999999999663e-02  2.972275972366333008e+00
3.303400000000000086e-02  -2.452840000000000020e-01  2.455090000000000050e-01  2.677809999999999913e-01  4.099490000000000078e-01  -2.137229999999999963e-01  3.047269105911254883e+00
-2.517119999999999913e-01  -3.820439999999999947e-01  3.764089999999999936e-01  4.002890000000000059e-01  7.360400000000000276e-02  -3.200919999999999876e-01  3.124273061752319336e+00
-2.327780000000000127e-01  -4.155719999999999970e-01  4.084050000000000180e-01  4.238649999999999918e-01  -1.017570000000000002e-01  -3.482649999999999912e-01  3.176687002182006836e+00
-2.960630000000000206e-01  -4.447539999999999827e-01  4.368529999999999913e-01  4.412719999999999976e-01  -2.325210000000000055e-01  -3.640729999999999800e-01  3.234429121017456055e+00
