tif_tot   t1   iter_no
1.161344686908416524e+00  1.239359402656555176e+01  1.810000000000000000e+02
1.149535898379876464e+00  1.249312090873718262e+01  1.820000000000000000e+02
1.096074861646866516e+00  1.258982110023498535e+01  1.830000000000000000e+02
1.090888439138044008e+00  1.266592097282409668e+01  1.840000000000000000e+02
1.060406094564163570e+00  1.276715111732482910e+01  1.850000000000000000e+02
1.044993322893832843e+00  1.282970094680786133e+01  1.860000000000000000e+02
1.034596967450234661e+00  1.288794994354248047e+01  1.870000000000000000e+02
1.023479841176217153e+00  1.293695712089538574e+01  1.880000000000000000e+02
1.009589843685064103e+00  1.298165011405944824e+01  1.890000000000000000e+02
9.973530902029066336e-01  1.304003095626831055e+01  1.900000000000000000e+02
9.857148282676697626e-01  1.309574198722839355e+01  1.910000000000000000e+02
9.755354120302667242e-01  1.313804697990417480e+01  1.920000000000000000e+02
9.653027659954418471e-01  1.318129491806030273e+01  1.930000000000000000e+02
9.545025009695677909e-01  1.322228407859802246e+01  1.940000000000000000e+02
9.443415036224980241e-01  1.326167702674865723e+01  1.950000000000000000e+02
9.327306307944513986e-01  1.331139993667602539e+01  1.960000000000000000e+02
9.203114389958362285e-01  1.335222506523132324e+01  1.970000000000000000e+02
9.070894710066665922e-01  1.341092109680175781e+01  1.980000000000000000e+02
8.767536428617531685e-01  1.346510791778564453e+01  1.990000000000000000e+02
8.476328590291253295e-01  1.352694797515869141e+01  2.000000000000000000e+02
8.262996248460900972e-01  1.357418298721313477e+01  2.010000000000000000e+02
8.031922033544878214e-01  1.362416005134582520e+01  2.020000000000000000e+02
7.830399497340155834e-01  1.366653800010681152e+01  2.030000000000000000e+02
7.630517313454814321e-01  1.370980811119079590e+01  2.040000000000000000e+02
7.441440436162307659e-01  1.375008606910705566e+01  2.050000000000000000e+02
7.222671648686952439e-01  1.380340600013732910e+01  2.060000000000000000e+02
7.012263111413432615e-01  1.385153198242187500e+01  2.070000000000000000e+02
6.804923890650623752e-01  1.389969897270202637e+01  2.080000000000000000e+02
6.608337842324814027e-01  1.395291709899902344e+01  2.090000000000000000e+02
6.399734114751037817e-01  1.399892497062683105e+01  2.100000000000000000e+02
6.210840120308711576e-01  1.403816294670104980e+01  2.110000000000000000e+02
6.030255498604621955e-01  1.407812690734863281e+01  2.120000000000000000e+02
5.873643630444020935e-01  1.411504793167114258e+01  2.130000000000000000e+02
5.705426392165839911e-01  1.414819812774658203e+01  2.140000000000000000e+02
5.537917145429778198e-01  1.418838310241699219e+01  2.150000000000000000e+02
5.391750117320361912e-01  1.423162412643432617e+01  2.160000000000000000e+02
5.256635945777334840e-01  1.426047992706298828e+01  2.170000000000000000e+02
5.115598933958214189e-01  1.430214500427246094e+01  2.180000000000000000e+02
4.982076729562149309e-01  1.433685803413391113e+01  2.190000000000000000e+02
1.186047870441323537e+00  1.515551209449768066e+01  2.200000000000000000e+02
1.246601917573709528e+00  1.524864602088928223e+01  2.210000000000000000e+02
1.238206510300944974e+00  1.533815002441406250e+01  2.220000000000000000e+02
1.232610655188728810e+00  1.540936899185180664e+01  2.230000000000000000e+02
1.227261926056806285e+00  1.547365307807922363e+01  2.240000000000000000e+02
1.223937473678522014e+00  1.553544807434082031e+01  2.250000000000000000e+02
1.221525312128092899e+00  1.559857797622680664e+01  2.260000000000000000e+02
1.220130189020009803e+00  1.565422701835632324e+01  2.270000000000000000e+02
1.220237096462250648e+00  1.571668100357055664e+01  2.280000000000000000e+02
1.221381599872194634e+00  1.576622295379638672e+01  2.290000000000000000e+02
1.224192400859944296e+00  1.583200311660766602e+01  2.300000000000000000e+02
1.228312584680199659e+00  1.589384603500366211e+01  2.310000000000000000e+02
1.187050675820661816e+00  1.597581911087036133e+01  2.320000000000000000e+02
1.123723807504927841e+00  1.607057094573974609e+01  2.330000000000000000e+02
1.080631559349613413e+00  1.612639212608337402e+01  2.340000000000000000e+02
1.036373431319168814e+00  1.617182898521423340e+01  2.350000000000000000e+02
1.006085736392296148e+00  1.622542309761047363e+01  2.360000000000000000e+02
9.860098916325148455e-01  1.626827812194824219e+01  2.370000000000000000e+02
9.685728641156974295e-01  1.630483913421630859e+01  2.380000000000000000e+02
9.504228169879774812e-01  1.634254598617553711e+01  2.390000000000000000e+02
9.307686060099823466e-01  1.638746595382690430e+01  2.400000000000000000e+02
9.122577349924665402e-01  1.642761301994323730e+01  2.410000000000000000e+02
8.958766561802772310e-01  1.647068810462951660e+01  2.420000000000000000e+02
8.802162005907074871e-01  1.650758314132690430e+01  2.430000000000000000e+02
8.661567802085459178e-01  1.654608201980590820e+01  2.440000000000000000e+02
8.501395061688670207e-01  1.658937811851501465e+01  2.450000000000000000e+02
8.360957772409018940e-01  1.662669992446899414e+01  2.460000000000000000e+02
8.217156098434019729e-01  1.665927410125732422e+01  2.470000000000000000e+02
8.091737435556412006e-01  1.669600892066955566e+01  2.480000000000000000e+02
7.974248478431884557e-01  1.673120808601379395e+01  2.490000000000000000e+02
7.852118508224508187e-01  1.675722813606262207e+01  2.500000000000000000e+02
7.615129676133089998e-01  1.684722495079040527e+01  2.510000000000000000e+02
7.426987074538832223e-01  1.688027596473693848e+01  2.520000000000000000e+02
7.253356023785522133e-01  1.691921997070312500e+01  2.530000000000000000e+02
7.085908476929785316e-01  1.695599699020385742e+01  2.540000000000000000e+02
