a1     a2   a3   a4  a5   a6   t1
3.141592653589793116e+00  -1.969458470181600085e-01  2.466776726742567760e-01  2.056248135192467463e-01  2.849117241259048861e+00  -8.096699463034992550e-02  0.000000000000000000e+00
-1.351449867907151825e+00  -2.624975951885452075e-01  3.522006775808383949e-01  2.014153507029547097e+00  -3.132465640179046051e+00  -1.167588048154719754e-01  7.762694358825683594e-02
3.141592653589793116e+00  -2.633389858128813987e-01  6.268145807924228041e-01  4.385193442486453042e-01  1.161059155731971604e+00  -9.114857404899713578e-02  1.619551181793212891e-01
3.141592653589793116e+00  1.544559004364294275e-01  7.229801816707142059e-01  7.405090276956821649e-01  3.141592653589793116e+00  -3.149517196735192037e-01  2.388510704040527344e-01
3.141592653589793116e+00  5.339516539497066727e-01  1.941610329749164920e-01  7.366306037679029028e-01  3.141592653589793116e+00  -3.394036731221534153e-01  3.064451217651367188e-01
3.141592653589793116e+00  6.541982136979320739e-01  -2.874129368060402423e-01  6.315689433736866309e-01  3.141592653589793116e+00  -2.574463597316936081e-01  3.609459400177001953e-01
3.141592653589793116e+00  8.180098016654976378e-01  -4.123737357665638870e-01  4.903073670858336675e-01  2.014750040998882774e+00  -3.043162714993523643e-01  4.079871177673339844e-01
3.141592653589793116e+00  9.196022536802658243e-01  -5.220131127408594862e-01  1.226890646516909517e-01  3.141592653589793116e+00  -3.243192714286363132e-01  4.644799232482910156e-01
7.677735993618143295e-01  3.141592617326649961e+00  -3.141592618371229495e+00  -3.141592435871499500e+00  3.141592636737365218e+00  -3.590420652290937653e-01  5.167679786682128906e-01
5.328219659614948922e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.593953014826176129e-01  5.760729312896728516e-01
3.542061292519690929e-01  3.141592586971836631e+00  -3.141592583543127759e+00  -3.141592444930235040e+00  3.141592614053674737e+00  -3.509149477965498032e-01  6.309270858764648438e-01
1.942479655361345203e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.510535652112294347e-01  6.727991104125976562e-01
