a1     a2   a3   a4  a5   a6   t1
3.141592653589793116e+00  -4.401060977306334859e-02  1.436966818919308518e-02  3.162849940801830129e-01  2.787484776889219251e+00  5.977798781639768189e-01  0.000000000000000000e+00
-3.141592653589793116e+00  -1.088096802211881847e-01  7.369851490341899902e-02  4.119365628698694604e-01  -3.141592632140348673e+00  2.526600693374027595e-01  9.168386459350585938e-02
3.116999438826660640e+00  4.718757952992369553e-02  -9.824764012512851585e-02  7.366560225491054492e-01  3.094865732714801698e+00  5.754759437374141751e-01  1.770660877227783203e-01
3.141592653589793116e+00  5.029275500169667623e-01  -5.311563158496862558e-01  8.169414657303603056e-01  3.141592653589793116e+00  1.805866640309508608e-01  2.385680675506591797e-01
3.141592653589793116e+00  9.105347241419901039e-01  -9.456227371068839371e-01  2.800268604358736035e-01  3.141592653589793116e+00  -2.153138731013939378e-01  3.189399242401123047e-01
3.141592633660197809e+00  9.143512495474422908e-01  -9.514525591298377272e-01  -1.696261408591069608e-01  3.141592559517437877e+00  -3.543647627724307303e-01  3.694500923156738281e-01
3.114433103429918415e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -8.320641346470871724e-01  4.113819599151611328e-01
3.141592653589793116e+00  1.064369879101650262e+00  -1.085521093941142379e+00  -4.632685329636529459e-01  3.141592653589793116e+00  -3.099179126275308782e-01  4.774050712585449219e-01
3.141592653589793116e+00  1.418782144643323972e+00  -1.437048035793471845e+00  -7.619657627593492411e-01  3.141592653589793116e+00  -5.380029931968094425e-01  5.459609031677246094e-01
1.816633044137244024e+00  3.141592625963366636e+00  -3.141592640812971293e+00  -3.141592537887567538e+00  3.141592477879346479e+00  -9.556617652938290686e-01  5.993080139160156250e-01
1.650074680171588870e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -9.375468546172155415e-01  6.402668952941894531e-01
1.498461798456684813e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592652608141911e+00  -9.191866601661030645e-01  6.960399150848388672e-01
1.285137919415355601e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592649346006461e+00  -9.526066588801033186e-01  7.443900108337402344e-01
1.086144488317243306e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592645243229676e+00  -1.020422297228269048e+00  7.838940620422363281e-01
9.150332168674196742e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592639762796235e+00  -1.028618856102560875e+00  8.295710086822509766e-01
-9.628972873735666127e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592652389805451e+00  3.141592653589793116e+00  -1.012075795581192761e+00  8.758120536804199219e-01
-1.099906052021505376e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592331316973130e+00  -1.002905840738522292e+00  9.255869388580322266e-01
-1.303819601949784079e+00  3.141592466842129561e+00  -3.141592555871325576e+00  -3.141592253631904086e+00  2.189322212355703900e+00  -1.005285482182808776e+00  9.664149284362792969e-01
-1.502335403810278969e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  1.795638332742681476e+00  -9.930031652614450532e-01  1.007659912109375000e+00
-1.652770172055386677e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  1.155396293706760114e+00  -1.013093328155385775e+00  1.045984983444213867e+00
-1.798277473365135659e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  4.768172063574983022e-01  -1.023326339231350746e+00  1.083371877670288086e+00
-1.999835090101257373e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  -4.808389684971376421e-01  -1.059060729158274539e+00  1.126435995101928711e+00
-1.987224071289502181e+00  2.409910638786164405e+00  -2.652937620697315868e+00  -2.407354321576497647e+00  -1.606700149915571973e+00  -1.047485927207318923e+00  1.173667907714843750e+00
-2.088187674023796347e+00  1.885306547595248849e+00  -2.107414653675057536e+00  -2.145206848776783914e+00  -1.907601850505966201e+00  -1.018218784934142418e+00  1.211005926132202148e+00
-2.070191527480853555e+00  6.692476329051331163e-01  -5.555502277844311942e-01  -1.623410432164319017e+00  -1.962389954599875308e+00  -9.911152969595780071e-01  1.247828960418701172e+00
-2.091403764207242499e+00  -2.167987408933429450e-01  4.772966912406318429e-01  -1.223089510027827176e+00  -2.093533566341108987e+00  -9.790818177679680989e-01  1.288775920867919922e+00
-2.135253556897566796e+00  -5.336750667585151708e-01  8.075187373263325030e-01  -1.009120130080061628e+00  -2.301630857901955984e+00  -9.492763791732571343e-01  1.327672004699707031e+00
-2.160254570889718284e+00  -1.090698523042956447e+00  1.377604519689191065e+00  -6.827449672624719135e-01  -2.485815663895273975e+00  -9.363765961790793124e-01  1.366957902908325195e+00
-2.150473422885165409e+00  -1.443301472367464866e+00  1.738991060961004420e+00  -4.453532728596957813e-01  -2.594212682712449869e+00  -8.881111709850694202e-01  1.410113096237182617e+00
-2.198230369105395710e+00  -2.246244138518556088e+00  2.441351024780530121e+00  1.010980316207144014e-01  -2.666371502561668105e+00  -8.904368230568414644e-01  1.453684091567993164e+00
-2.229951612474620593e+00  -2.812585366753957761e+00  2.856369503870263671e+00  2.271094698453596461e+00  -2.724640280434465822e+00  -9.298739269536773211e-01  1.502115964889526367e+00
-2.361635329823876361e+00  -3.022710442395117436e+00  3.052895722508152776e+00  2.594400383274348965e+00  -2.815678500025277753e+00  -1.000422460205899977e+00  1.542519092559814453e+00
-2.310948459403032285e+00  -3.068724766588072583e+00  3.096889102583145981e+00  2.614868941255497070e+00  -2.792624648058968706e+00  -9.797979373290643945e-01  1.578845977783203125e+00
-2.298823754231999583e+00  -3.122291624055581583e+00  3.141592653589793116e+00  2.711908182941839218e+00  -2.804932858947842167e+00  -9.756867054190905275e-01  1.619332075119018555e+00
-2.240252421051273757e+00  -3.121784203459139206e+00  3.141592653589793116e+00  2.738891084960496602e+00  -2.731816244994408560e+00  -9.498563614875213945e-01  1.663716077804565430e+00
-2.207716150898695773e+00  -3.123832365435094793e+00  3.141592653589793116e+00  2.770015077549514704e+00  -2.704584154722250222e+00  -9.478111825565204152e-01  1.704444885253906250e+00
-2.182477427766667866e+00  -3.119585332663851407e+00  3.141592653589793116e+00  2.795030234212080078e+00  -2.682496953002976525e+00  -9.267408701864139342e-01  1.741472005844116211e+00
-2.191112560927703345e+00  -3.127853097148478145e+00  3.141592653589793116e+00  2.807636700745149483e+00  -2.603228112896163626e+00  -9.636967357606130991e-01  1.776890993118286133e+00
-2.185768888821944422e+00  -3.130163028148138959e+00  3.141592653589793116e+00  2.879869232635183351e+00  -2.593304792463548836e+00  -9.401252409820819445e-01  1.814491987228393555e+00
-2.154146358574940745e+00  -3.119371773538528014e+00  3.141592653589793116e+00  2.840857263900888885e+00  -2.553029520696434851e+00  -9.713777061344434083e-01  1.852500915527343750e+00
-2.179268791342113154e+00  -3.134900477404728658e+00  3.141592573593968929e+00  2.888777122835453071e+00  -2.604925571873392798e+00  -8.885040439640579102e-01  1.885251045227050781e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.937524080276489258e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.974030017852783203e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  2.014971017837524414e+00
5.085424793354504924e-01  -1.122181660406565751e+00  1.543902898339190921e+00  -9.302299375849804042e-02  -1.538796300948361111e-02  4.236481406900129976e-01  2.831541061401367188e+00
5.088200456372033997e-01  -1.133211753959166179e+00  1.568184457255821895e+00  -5.582651282196080672e-02  8.131406219230440102e-03  4.644586280588731131e-01  2.884975910186767578e+00
5.083824251994921717e-01  -1.130923285956724422e+00  1.568442822566105121e+00  -6.302900038370080893e-02  -7.440502355756872625e-03  4.511105353424751940e-01  2.913655996322631836e+00
5.444745056094041358e-01  -1.231424309559448815e+00  1.707541230573596636e+00  -1.003001807796881084e-01  -3.178881138840807669e-02  4.755203989491181837e-01  2.944041013717651367e+00
6.042910608337497269e-01  -1.412851268325536092e+00  1.967792840295362389e+00  -8.993777861931907813e-02  -2.405034355955462493e-03  5.266883047903828663e-01  2.977056026458740234e+00
7.074299052218491202e-01  -1.732099379203039247e+00  2.265397443249417719e+00  -1.182745178990282087e-01  1.915795686760167829e-02  5.951052729763979254e-01  3.009651899337768555e+00
7.913291727180171709e-01  -1.908229968718706759e+00  2.417308249718424396e+00  -1.290637914297601274e-01  -2.516676662248472710e-02  6.775258694764720868e-01  3.058148860931396484e+00
8.461034904530205791e-01  -1.993817988137376096e+00  2.506711914317037770e+00  -1.267333558307583430e-01  3.270401837002758372e-03  7.291788594907987475e-01  3.097110033035278320e+00
8.763424031291690008e-01  -2.041703851571334383e+00  2.557586522301828147e+00  -1.328248026340090593e-01  -1.172910399082607510e-02  7.532001321649126613e-01  3.121845960617065430e+00
9.083920385275785492e-01  -2.091039918959284982e+00  2.605345920150781147e+00  -1.450128980043582649e-01  -2.704828393601266603e-02  7.772773054127030123e-01  3.147367954254150391e+00
9.471164653902363062e-01  -2.158029225272743989e+00  2.656246169133388513e+00  -1.486604348876401360e-01  2.654406222711011565e-02  8.247947132423317784e-01  3.174797058105468750e+00
9.769038122823240355e-01  -2.212018431851113132e+00  2.676309876016721656e+00  -1.572205367990370806e-01  -1.897698635673612799e-02  8.589282350091271834e-01  3.208910942077636719e+00
1.283839017882202338e+00  -2.510707812380451376e+00  2.717606170240768115e+00  -2.721156563418791197e-01  -2.465634727947312033e-02  1.183302690658499579e+00  3.243891954421997070e+00
1.295934458928930111e+00  -2.540002253931553433e+00  2.728656653167966795e+00  -2.725788311417702836e-01  1.015738256872052506e-02  1.193054453323314723e+00  3.273408889770507812e+00
1.304728846232064532e+00  -2.571132132984169871e+00  2.745492472794105243e+00  -2.873682880420907471e-01  4.314036907428661638e-02  1.206367157133627632e+00  3.304821014404296875e+00
1.342350224793353419e+00  -2.614015368287821772e+00  2.786261633174651475e+00  -2.935455416516987714e-01  1.534343266979325097e-02  1.248107054630636759e+00  3.334860086441040039e+00
1.339651319977923416e+00  -2.616296552828516031e+00  2.767948510547080243e+00  -3.001902378446550945e-01  -5.335669981754391500e-02  1.261670567052973757e+00  3.368808031082153320e+00
1.353105741339902135e+00  -2.634390094691408279e+00  2.779863990841606736e+00  -2.941349455060887630e-01  -2.144060919848516863e-02  1.267466188215069955e+00  3.404721021652221680e+00
1.324579625349505019e+00  -2.629950176191924616e+00  2.754574099023623823e+00  -3.358871308817702461e-01  6.196911045350826652e-02  1.254169543923544294e+00  3.436142921447753906e+00
1.459823964285235087e+00  -2.665452369942909794e+00  2.776850380211414393e+00  -4.405966961450518693e-01  4.998921847736473301e-02  1.496360067635671864e+00  3.471570014953613281e+00
1.469702586162711322e+00  -2.713082611533962130e+00  2.797283681003174483e+00  -4.277862002866815727e-01  2.276676442222360097e-01  1.545466571245062593e+00  3.503336906433105469e+00
1.481229306528986100e+00  -2.760929518715823594e+00  2.857516158341614876e+00  -4.530190160432736590e-01  5.492397263898583792e-02  1.567853822972857136e+00  3.533355951309204102e+00
1.528321296818117458e+00  -2.824681010263289327e+00  2.905685571421144697e+00  -4.744461751058217103e-01  -1.385268794453040075e-01  1.587205413893883366e+00  3.567916870117187500e+00
1.530500284291490320e+00  -2.806167340381358510e+00  2.880352769104347121e+00  -4.820545221951006432e-01  2.760934485243043413e-01  1.550301846905856262e+00  3.606150865554809570e+00
1.527016401829679904e+00  -2.789812756246901060e+00  2.882738759697095698e+00  -4.802397780548665063e-01  9.748709062656227275e-02  1.588503331545940700e+00  3.636439085006713867e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  3.664998054504394531e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  3.700615882873535156e+00
-5.232512450427396480e-04  3.052600292221703260e-01  2.119281301225970915e-01  1.137786458182456772e-01  -2.584367928912123871e-02  -4.285090841760064856e-02  4.518148899078369141e+00
-1.706135364207151262e-04  3.149734270126030022e-01  2.223778622906042723e-01  7.077556043291420573e-02  3.986783708781362415e-03  -4.392819698497053144e-02  4.560229063034057617e+00
2.239665208767054863e-04  3.130131835213211255e-01  2.227332419579237666e-01  1.228280231054548199e-01  -9.331333545803299073e-03  -4.336699127202983672e-02  4.589075088500976562e+00
-3.430240091926472362e-02  3.579998652618262556e-01  1.910714813062851514e-01  6.259069584062036673e-02  2.155498178138085322e-02  -8.277645428073518441e-02  4.620110988616943359e+00
-9.078797883839942462e-02  4.236049953057136053e-01  1.382493214245633373e-01  1.173945086325479670e-01  -4.085279289611715853e-02  -1.307626150656773234e-01  4.650276899337768555e+00
-2.183981415735733456e-01  7.507163206547372569e-01  -2.672126735920232754e-02  1.246983914655100389e-01  -4.843057275384140409e-03  -2.376628102037333379e-01  4.690823078155517578e+00
-3.665895543301204706e-01  9.345713533862661793e-01  -2.926392781518921682e-01  1.970104778772822085e-01  2.880710780819662961e-02  -3.489404774701407863e-01  4.729690074920654297e+00
-4.494087603873108683e-01  1.035096661631356607e+00  -4.186203227016925266e-01  1.757141507590481710e-01  -6.620910259130351541e-03  -4.246817798094624230e-01  4.762809038162231445e+00
-5.378291680316500400e-01  1.133872109067827871e+00  -5.923955576643968879e-01  1.821094012663158068e-01  2.813203813080852878e-02  -5.031322995668586762e-01  4.799424886703491211e+00
-5.801461280340419746e-01  1.187459774484059372e+00  -6.424496793719258747e-01  1.395250728135448426e-01  -5.295949294079339842e-02  -5.543891025324673150e-01  4.828665971755981445e+00
-6.403168418363670567e-01  1.248620151048768889e+00  -7.098512131804969316e-01  1.683989549714689504e-01  2.507906736272593265e-02  -6.091202905447149485e-01  4.859960079193115234e+00
-7.220591366576372128e-01  1.327686070138131447e+00  -7.938225714634040697e-01  2.382583568430053089e-01  -3.724056707435590557e-02  -6.752055029883690107e-01  4.895977020263671875e+00
-7.472175212835594493e-01  1.377091092263592831e+00  -8.490791878349265298e-01  1.689338540608429640e-01  -2.616262563702514282e-02  -7.246446466956577570e-01  4.927016973495483398e+00
-8.031299321121686541e-01  1.431997897265254283e+00  -9.084209519497756791e-01  1.726345987784542457e-01  -7.862583504922625310e-02  -7.632874308969762600e-01  4.956001043319702148e+00
-8.480633969029734986e-01  1.484821041580433931e+00  -9.701266824396582722e-01  1.893516045630432576e-01  -3.887449943302799527e-02  -8.219128564733726439e-01  4.987334966659545898e+00
-1.231722741327857973e+00  1.945518487208197644e+00  -1.921070792804009608e+00  1.796578314046583802e-01  -1.890438159466827431e-02  -1.098496654501137426e+00  5.014609098434448242e+00
-1.242424380083648305e+00  1.966006133324077698e+00  -1.947430894730913353e+00  1.617382881967321384e-01  -9.742660925436111632e-03  -1.109215504195492752e+00  5.050472974777221680e+00
