  a1     a2    a3    a4   a5    a6   t1
-8.212499999999955946e-01  4.005000000000050187e-01  -5.075000000000009504e-01  -4.650000000000001354e-01  4.037500000000013300e-01  -1.520000000000002183e-01  1.619332075119018555e+00
-9.598749999999989235e-01  3.577500000000038982e-01  -4.693750000000010414e-01  -4.889999999999998237e-01  1.373750000000090177e-01  -1.282499999999998919e-01  1.663716077804565430e+00
-1.072000000000003395e+00  2.791250000000050635e-01  -2.697499999999991571e-01  -2.908749999999994396e-01  -1.351249999999998286e-01  -3.287499999999991818e-02  1.704444885253906250e+00
-1.270750000000000934e+00  1.636250000000005755e-01  -2.357499999999998486e-01  -2.981249999999997513e-01  -3.522499999999983977e-01  -6.087500000000016509e-02  1.741472005844116211e+00
-1.329749999999990662e+00  -4.025000000000555911e-02  -7.125000000000186740e-02  -9.887499999999826983e-02  -6.367499999999983729e-01  -1.952499999999996738e-01  1.776890993118286133e+00
-1.259875000000000522e+00  -2.348749999999955040e-01  1.112500000000002376e-01  8.224999999999899059e-02  -8.427499999999962244e-01  1.338750000000001050e-01  1.814491987228393555e+00
-1.198375000000001522e+00  -3.593750000000020539e-01  2.459999999999996911e-01  1.826249999999987605e-01  -1.025375000000001924e+00  2.007499999999999563e-01  1.852500915527343750e+00
-1.311124999999996321e+00  -4.937500000000011324e-01  3.506250000000002420e-01  2.753750000000013132e-01  -1.114249999999997076e+00  2.011249999999999150e-01  1.885251045227050781e+00
-1.088874999999996041e+00  -4.760000000000007003e-01  3.476250000000006835e-01  2.783750000000008162e-01  -9.996250000000039826e-01  4.966250000000000941e-01  1.937524080276489258e+00
-9.874999999999952704e-01  -4.956249999999995381e-01  4.264999999999997682e-01  2.669999999999998486e-01  -9.083749999999959357e-01  2.475000000000003239e-02  1.974030017852783203e+00
-1.500000000001500133e-03  -7.187499999999902300e-02  7.974999999999995981e-02  8.375000000000049072e-02  -2.637500000000209122e-02  -9.462499999999998690e-02  2.014971017837524414e+00
6.250000000000015959e-03  2.503750000000000142e-01  -7.212499999999999467e-02  4.098749999999999893e-01  -4.492499999999999827e-01  -5.031249999999999334e-01  2.831541061401367188e+00
1.525000000000000487e-02  3.036250000000000338e-01  -2.062500000000000097e-02  3.704999999999999960e-01  2.213749999999999885e-01  -1.694999999999999840e-01  2.884975910186767578e+00
1.398749999999999993e-01  6.712499999999999023e-02  2.316249999999999698e-01  2.512500000000000289e-01  1.415000000000000147e-01  4.842499999999999583e-01  2.913655996322631836e+00
