v1     v2   v3   v4  v5   v6   t1
1.190000000000000058e-04  0.000000000000000000e+00  5.599999999999999916e-05  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00
-2.380000000000000117e-04  0.000000000000000000e+00  1.759999999999999954e-04  1.810000000000000085e-04  -1.190000000000000058e-04  0.000000000000000000e+00  9.168386459350585938e-02
-1.218940000000000023e-01  -7.038700000000000512e-02  -6.908799999999999664e-02  -9.393300000000000261e-02  -2.422660000000000091e-01  9.126999999999999696e-03  1.770660877227783203e-01
-2.532150000000000234e-01  -1.967460000000000042e-01  -1.282699999999999951e-01  -2.067650000000000043e-01  -5.103579999999999783e-01  1.952699999999999922e-02  2.385680675506591797e-01
-1.276950000000000029e-01  -3.425489999999999924e-01  1.190329999999999999e-01  -1.550439999999999874e-01  -2.270800000000000041e-01  4.891600000000000115e-02  3.189399242401123047e-01
5.279999999999999971e-03  -3.825609999999999844e-01  2.725980000000000070e-01  -1.408850000000000102e-01  -1.084009999999999974e-01  1.183270000000000016e-01  3.694500923156738281e-01
8.614600000000000035e-02  -3.975009999999999932e-01  3.208710000000000173e-01  -3.944799999999999696e-02  -2.371080000000000132e-01  1.575590000000000046e-01  4.113819599151611328e-01
2.080919999999999992e-01  -4.205150000000000277e-01  3.610769999999999813e-01  1.177799999999999958e-01  -4.586999999999999966e-01  1.891680000000000028e-01  4.774050712585449219e-01
3.181069999999999731e-01  -4.574259999999999993e-01  4.264450000000000185e-01  2.356090000000000129e-01  -5.945519999999999694e-01  2.100370000000000015e-01  5.459609031677246094e-01
3.893440000000000234e-01  -4.716319999999999957e-01  4.687970000000000192e-01  3.041980000000000239e-01  -6.001199999999999868e-01  2.171160000000000034e-01  5.993080139160156250e-01
3.471190000000000109e-01  -4.715960000000000152e-01  4.801099999999999812e-01  3.353360000000000229e-01  -5.959740000000000038e-01  2.145110000000000072e-01  6.402668952941894531e-01
