q1     q2   q3   q4  q5   q6   t1
-6.997222862103971153e-01  -1.500235139558256492e+00  1.999828770858763427e+00  -2.269800570173496013e+00  -1.569972022532386546e+00  -4.019934181027713826e+00  0.000000000000000000e+00
-6.997237659036592561e-01  -1.500236067384246752e+00  1.999833563929101388e+00  -2.269802474353506128e+00  -1.569974527162322886e+00  -4.019933172108064667e+00  9.168386459350585938e-02
-7.011099542739547275e-01  -1.503196456650435664e+00  2.002726545669400782e+00  -2.271497437591392554e+00  -1.576483077170344416e+00  -4.015431390238640041e+00  1.770660877227783203e-01
-7.040080416737541924e-01  -1.515010312703971351e+00  2.014279586161363600e+00  -2.276914010256732013e+00  -1.600276599649493647e+00  -3.997219431109877430e+00  2.385680675506591797e-01
-6.860698692928917097e-01  -1.542771106467785813e+00  2.041597789714463485e+00  -2.271971973243018361e+00  -1.641275756181208578e+00  -3.949911517263402505e+00  3.189399242401123047e-01
-6.654450346310420983e-01  -1.563979839941062266e+00  2.062514426423263991e+00  -2.256924427353494522e+00  -1.673483265018646193e+00  -3.909480583833502720e+00  3.694500923156738281e-01
-6.521637374830175915e-01  -1.579267500081252606e+00  2.077511354028926505e+00  -2.243190570285207741e+00  -1.697935974062158238e+00  -3.879059692866377862e+00  4.113819599151611328e-01
-6.331322292048788825e-01  -1.604214737840216287e+00  2.101886703954289004e+00  -2.219232949916332132e+00  -1.736055396218631586e+00  -3.827694240363753497e+00  4.774050712585449219e-01
-6.115933479753170587e-01  -1.633437391851892073e+00  2.130291210290926607e+00  -2.188320908304582701e+00  -1.777457002506132255e+00  -3.764881811979102988e+00  5.459609031677246094e-01
-5.925693806323177881e-01  -1.656519953688476932e+00  2.152652861996414035e+00  -2.161214725258632896e+00  -1.808706790760794547e+00  -3.713308622935277636e+00  5.993080139160156250e-01
-5.793821460418060454e-01  -1.672930009083566816e+00  2.168504387258651356e+00  -2.140894319482458563e+00  -1.830386557534017911e+00  -3.676786182991715446e+00  6.402668952941894531e-01
-5.633473631508305601e-01  -1.695049395703453143e+00  2.189834161011250835e+00  -2.112419815107508647e+00  -1.859813238023694026e+00  -3.627188550911352838e+00  6.960399150848388672e-01
-5.503105741670308859e-01  -1.713006418414813936e+00  2.207088330830075051e+00  -2.088124295258646512e+00  -1.883464523886743791e+00  -3.585432313225802581e+00  7.443900108337402344e-01
-5.387343506209694155e-01  -1.727282715252753675e+00  2.220741966742124873e+00  -2.067803061510782747e+00  -1.901274976965854790e+00  -3.550907557501490341e+00  7.838940620422363281e-01
-5.261420474492561894e-01  -1.740869349007656552e+00  2.233699340704437653e+00  -2.047530911910819817e+00  -1.917026755247780656e+00  -3.516743796836840463e+00  8.295710086822509766e-01
-5.097383421783439061e-01  -1.756153317729520325e+00  2.248232434503637300e+00  -2.023664351657557425e+00  -1.933095246187122029e+00  -3.476513015616165436e+00  8.758120536804199219e-01
-4.921646495977824998e-01  -1.770125825437469658e+00  2.261464875683512066e+00  -2.000650059599719199e+00  -1.945979472015498146e+00  -3.437573670141628401e+00  9.255869388580322266e-01
-4.768006245711573499e-01  -1.780651951599033112e+00  2.271410323096624939e+00  -1.982409730100632039e+00  -1.954325106101709508e+00  -3.406211408565090970e+00  9.664149284362792969e-01
-4.560363679134207260e-01  -1.791839547015275258e+00  2.281914305095874784e+00  -1.961928066025769191e+00  -1.961539245988722868e+00  -3.370071740788603609e+00  1.007659912109375000e+00
-4.399276601541455278e-01  -1.798365923227223107e+00  2.288018506894312409e+00  -1.949153990938693681e+00  -1.964670113594298329e+00  -3.346980939985266357e+00  1.045984983444213867e+00
-4.172046916015963447e-01  -1.805442142511033410e+00  2.294583490253161884e+00  -1.934304688173968501e+00  -1.966323713449547483e+00  -3.319354452352504037e+00  1.083371877670288086e+00
-3.920328226172467012e-01  -1.811272530700634320e+00  2.299937235638774169e+00  -1.920849636743018785e+00  -1.964811507385535450e+00  -3.293228985157241162e+00  1.126435995101928711e+00
-3.593625765288086527e-01  -1.816551397696271053e+00  2.304637850142223776e+00  -1.906617608657280805e+00  -1.958673295039822904e+00  -3.263909506870279031e+00  1.173667907714843750e+00
-3.308661282327207687e-01  -1.819411594742746274e+00  2.307043015919386431e+00  -1.896455326033918531e+00  -1.950402196616185968e+00  -3.241327895239554113e+00  1.211005926132202148e+00
-3.018153325280215071e-01  -1.820727145678070258e+00  2.307933850738961734e+00  -1.888002596445081060e+00  -1.939818086705773048e+00  -3.220532817771529110e+00  1.247828960418701172e+00
-2.725428439843726736e-01  -1.820337036719267942e+00  2.307136283886698891e+00  -1.881471881855893535e+00  -1.927304028143698389e+00  -3.201462512001253646e+00  1.288775920867919922e+00
-2.434147315675971868e-01  -1.818071950791881441e+00  2.304536010674397062e+00  -1.877099529180967785e+00  -1.913338596250448553e+00  -3.184023653374978835e+00  1.327672004699707031e+00
-2.204818979069465001e-01  -1.814888574400832510e+00  2.301138450001174007e+00  -1.875191737803066694e+00  -1.901310382475799088e+00  -3.171190486648879148e+00  1.366957902908325195e+00
-1.871460083975096111e-01  -1.808050772149394803e+00  2.294014966304198211e+00  -1.874774107993030015e+00  -1.882107237321799076e+00  -3.153701718524416719e+00  1.410113096237182617e+00
-1.604663336055844880e-01  -1.800616268865645075e+00  2.286361985002997699e+00  -1.876508170237928042e+00  -1.864998153349211485e+00  -3.140518861497791914e+00  1.453684091567993164e+00
-1.297015281224487282e-01  -1.789831486041843611e+00  2.275293496444211527e+00  -1.880946871769314299e+00  -1.843084872776786121e+00  -3.126018897588016987e+00  1.502115964889526367e+00
-1.052377554019114925e-01  -1.779575672149929844e+00  2.264779485177413676e+00  -1.886296671263202995e+00  -1.823910482405010747e+00  -3.114899189478816499e+00  1.542519092559814453e+00
-8.207956149774897625e-02  -1.768515108455542162e+00  2.253454110542399746e+00  -1.892792142999478955e+00  -1.804385133685861398e+00  -3.104640787283353909e+00  1.578845977783203125e+00
-6.037031247764801378e-02  -1.756735750697743015e+00  2.241405764640724385e+00  -1.900215355123680894e+00  -1.784774241171599662e+00  -3.095215322327040663e+00  1.619332075119018555e+00
-3.630877947783517357e-02  -1.741677017689880813e+00  2.226016839041273343e+00  -1.910226490161704760e+00  -1.761341960355198744e+00  -3.084925504700928300e+00  1.663716077804565430e+00
-1.796251612904864459e-02  -1.728555308658881629e+00  2.212625814860999185e+00  -1.919342728760129901e+00  -1.742343076626673870e+00  -3.077156246216928182e+00  1.704444885253906250e+00
-4.418472640523418704e-03  -1.717872551210606780e+00  2.201735044665946717e+00  -1.926986674980655678e+00  -1.727677889811524814e+00  -3.071428353022703117e+00  1.741472005844116211e+00
1.113498570850186310e-02  -1.704529366720569428e+00  2.188137964861233797e+00  -1.936740386870180686e+00  -1.710180053720549154e+00  -3.064845080521403364e+00  1.776890993118286133e+00
2.248635495643936180e-02  -1.694024784701205988e+00  2.177439239689260120e+00  -1.944577795748205773e+00  -1.696987473311649453e+00  -3.060029277040877904e+00  1.814491987228393555e+00
3.533471378270186536e-02  -1.681405563571005679e+00  2.164604910081262545e+00  -1.954190887703653345e+00  -1.681731739285324601e+00  -3.054591095186428351e+00  1.852500915527343750e+00
4.453537479872686500e-02  -1.671856876614580933e+00  2.154898097479449603e+00  -1.961599538875653082e+00  -1.670609584808862458e+00  -3.050664389239916119e+00  1.885251045227050781e+00
5.848661786070186164e-02  -1.656538326466293398e+00  2.139348630169788379e+00  -1.973745271415356939e+00  -1.653394824442113276e+00  -3.044693170049453723e+00  1.937524080276489258e+00
6.533555712187687214e-02  -1.648626709546342717e+00  2.131323659458427500e+00  -1.980157708613758061e+00  -1.644794261306175898e+00  -3.041765998829753848e+00  1.974030017852783203e+00
7.315465625577687037e-02  -1.639328642280405646e+00  2.121906472975776836e+00  -1.987745873766346705e+00  -1.634946024978850332e+00  -3.038428295904903820e+00  2.014971017837524414e+00
1.258417258946398221e-01  -1.565973895045692288e+00  2.047999750821664744e+00  -2.052973441293172385e+00  -1.570640618043464443e+00  -3.015726500372462482e+00  2.831541061401367188e+00
1.258088324620407761e-01  -1.566021058006954014e+00  2.048044058322477490e+00  -2.052905294399772984e+00  -1.570672235715654175e+00  -3.015741145317849536e+00  2.884975910186767578e+00
1.257887294142410184e-01  -1.566027449296105267e+00  2.048063952900303519e+00  -2.052886990015536206e+00  -1.570700254481228519e+00  -3.015751574665776147e+00  2.913655996322631836e+00
1.254679853581537330e-01  -1.565620532892205041e+00  2.047566285008054265e+00  -2.052796881925935679e+00  -1.570708762616103371e+00  -3.016055789391911546e+00  2.944041013717651367e+00
1.243698937616413147e-01  -1.564110981508017417e+00  2.045758027570428794e+00  -2.052537666197285837e+00  -1.570699504853966033e+00  -3.017150429758661545e+00  2.977056026458740234e+00
1.223388491047030513e-01  -1.561310897706792211e+00  2.042388372086342940e+00  -2.052104193761936202e+00  -1.570663291108004067e+00  -3.019177013743096438e+00  3.009651899337768555e+00
1.175989950243661042e-01  -1.554813225902517360e+00  2.034529384393605866e+00  -2.051161492962385147e+00  -1.570559195358104176e+00  -3.023982189001261034e+00  3.058148860931396484e+00
1.123339422001166099e-01  -1.547576201608954705e+00  2.025791547330893394e+00  -2.050064772956297965e+00  -1.570424792966078620e+00  -3.029296014062310860e+00  3.097110033035278320e+00
1.087035351329790345e-01  -1.542563779895966825e+00  2.019741720572616472e+00  -2.049312451682834713e+00  -1.570376817657604285e+00  -3.032927948619397185e+00  3.121845960617065430e+00
1.048037669751913370e-01  -1.537115911853891959e+00  2.013175416134878049e+00  -2.048469083166772897e+00  -1.570329988613853978e+00  -3.036820673117645697e+00  3.147367954254150391e+00
1.006813200837290978e-01  -1.531299719433866002e+00  2.006169004201916906e+00  -2.047562898386460439e+00  -1.570296530325729023e+00  -3.040939624418683707e+00  3.174797058105468750e+00
9.346955498982989496e-02  -1.520959592861014897e+00  1.993752266226630709e+00  -2.045965854450772170e+00  -1.570249375440115891e+00  -3.048152349460673705e+00  3.208910942077636719e+00
8.748954247744133994e-02  -1.512250072111815058e+00  1.983350788949966415e+00  -2.044645381378296101e+00  -1.570170975433502925e+00  -3.054128667853373003e+00  3.243891954421997070e+00
8.140068905095443341e-02  -1.503317169686264165e+00  1.972696928023230711e+00  -2.043312972877195932e+00  -1.570111380713653304e+00  -3.060186700418686456e+00  3.273408889770507812e+00
7.530512441857872830e-02  -1.494298747285227158e+00  1.961961177117556687e+00  -2.041994657361246190e+00  -1.570108016069703183e+00  -3.066227863673059773e+00  3.304821014404296875e+00
