a1     a2   a3   a4  a5   a6   t1
-2.967999186288057700e+00  -1.262533216891675414e+00  2.449980680543163425e-01  -2.116377395260935212e-01  -3.141592653589793116e+00  -2.232755271290211840e-01  1.453684091567993164e+00
-2.967101066122406650e+00  -2.651857151674510416e+00  2.372883135398646814e+00  1.896887223737109940e+00  -3.141592653589793116e+00  -1.585211958268314958e-01  1.502115964889526367e+00
-3.006683731608037924e+00  -2.811557341133397614e+00  2.603410770981194666e+00  2.378117395417903790e+00  -3.141592653589793116e+00  -8.209505328110398847e-02  1.542519092559814453e+00
-3.029702495677186302e+00  -2.919783054268564548e+00  2.671538517818236702e+00  2.436022607753415059e+00  -3.141592653589793116e+00  -7.050086718684163423e-02  1.578845977783203125e+00
-3.008846860633153764e+00  -2.988364291576881993e+00  2.762677468034507644e+00  2.516602983742072919e+00  -3.138135320555791363e+00  -6.541311687716613865e-02  1.619332075119018555e+00
-2.934190331025019027e+00  -3.009619074560313301e+00  2.794040474080033309e+00  2.560836915724778784e+00  -3.107143156339746248e+00  -5.046507477919018325e-02  1.663716077804565430e+00
-2.895966112341760379e+00  -3.028692927707456573e+00  2.810145199958267170e+00  2.596632977426236444e+00  -3.074716546713665899e+00  -5.079269155274808434e-02  1.704444885253906250e+00
-2.843625303848778429e+00  -3.022275128440005787e+00  2.840301930939236996e+00  2.635991125462481932e+00  -3.025430816477719276e+00  -3.827220435966515594e-02  1.741472005844116211e+00
-2.828000714287629780e+00  -3.064508075844291302e+00  2.873021541546171953e+00  2.688396724643109081e+00  -2.996247891231945459e+00  8.120487086767438911e-02  1.776890993118286133e+00
-2.682563971169159345e+00  -3.006294577001367152e+00  2.778836559558468533e+00  2.634694988484458378e+00  -2.846738529417708108e+00  -2.670457115600042425e-02  1.814491987228393555e+00
-2.748156001498133882e+00  -3.068421877422106814e+00  2.910542614863284694e+00  2.778134787285914342e+00  -2.894728604977723219e+00  3.822246883950013857e-02  1.852500915527343750e+00
-2.751117792922133543e+00  -3.121247228202608248e+00  2.987917813694678681e+00  2.811382373102173204e+00  -2.951291499330583434e+00  -1.585257825229651196e-01  1.885251045227050781e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.937524080276489258e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  1.974030017852783203e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  2.014971017837524414e+00
-9.097667960259965270e-01  1.774784317013146318e+00  -3.141592653589793116e+00  2.167316161078014225e-01  -1.316720388739767850e-02  -7.285898964687201884e-01  2.831541061401367188e+00
-9.165654558104211480e-01  1.804258870747390997e+00  -3.141592653589793116e+00  2.149721015184914708e-01  1.131863121104525853e-02  -7.203268023377276119e-01  2.884975910186767578e+00
-9.172183604013054437e-01  1.806815091474620161e+00  -3.141592653589793116e+00  2.026291787504538866e-01  -2.808355670601830542e-02  -6.955663285631351611e-01  2.913655996322631836e+00
-9.786593008297602703e-01  2.004052881270833808e+00  -3.141592653589793116e+00  2.245542061115805565e-01  -1.123217334565229132e-02  -7.751089683368624916e-01  2.944041013717651367e+00
-1.112155053163073726e+00  2.325510464627051910e+00  -3.141592653589793116e+00  2.318136928016282239e-01  2.136938398590273319e-02  -8.497878280466401035e-01  2.977056026458740234e+00
-1.345812585684725837e+00  2.574349903770562609e+00  -3.141592653589793116e+00  2.641928466452240221e-01  -7.985811439164984538e-03  -9.695973842436753642e-01  3.009651899337768555e+00
