q1     q2   q3   q4  q5   q6   t1
-1.039763454773146911e+00  -1.134935734154221443e+00  1.544872252839711413e+00  -2.096906428039345904e+00  -1.569977022699239555e+00  -3.569893124165631093e+00  0.000000000000000000e+00
-1.039771533877635434e+00  -1.134938582461645140e+00  1.544872531949548655e+00  -2.096907366085996038e+00  -1.569982773723577196e+00  -3.569888323576142941e+00  9.168386459350585938e-02
-1.043036214308374454e+00  -1.136776734985833315e+00  1.543063964526837140e+00  -2.099348896844233536e+00  -1.576378079538390153e+00  -3.569661492651031498e+00  1.770660877227783203e-01
-1.054845236214486448e+00  -1.144599352908283407e+00  1.536336238006799526e+00  -2.108904438202586107e+00  -1.600374775005640515e+00  -3.568744910487831490e+00  2.385680675506591797e-01
-1.070683466100314618e+00  -1.167493673205635574e+00  1.536293064354524951e+00  -2.122738488139011892e+00  -1.630070012462425666e+00  -3.566601880630881904e+00  3.189399242401123047e-01
-1.073547746992665530e+00  -1.188103060576224834e+00  1.548258750506050108e+00  -2.131519202191725526e+00  -1.637516900863939640e+00  -3.561642264144894376e+00  3.694500923156738281e-01
-1.071402130017002463e+00  -1.203776390863648516e+00  1.560432892480912548e+00  -2.134894313320049974e+00  -1.644579522384553627e+00  -3.555926612193056613e+00  4.113819599151611328e-01
-1.061301729637690094e+00  -1.229950993130984216e+00  1.582348185608150049e+00  -2.131542051324699649e+00  -1.667969606207652333e+00  -3.544571993831819423e+00  4.774050712585449219e-01
-1.042228663477988704e+00  -1.261730426741422662e+00  1.610969129903850217e+00  -2.118128071663848644e+00  -1.707412285513690620e+00  -3.530055888480269743e+00  5.459609031677246094e-01
-1.021432687416914398e+00  -1.287870540943021780e+00  1.636304226070650181e+00  -2.102656730155611164e+00  -1.741073012124264352e+00  -3.518014633363807153e+00  5.993080139160156250e-01
-1.006849039410151470e+00  -1.306780689463559852e+00  1.655351340614550137e+00  -2.089709566734711643e+00  -1.764966301262177240e+00  -3.509391035979132045e+00  6.402668952941894531e-01
-9.882591024348386100e-01  -1.332691276801885039e+00  1.682152805460349843e+00  -2.069932831307874643e+00  -1.798221625563940052e+00  -3.497544884740407589e+00  6.960399150848388672e-01
-9.714258498021388633e-01  -1.354179207486946979e+00  1.705144250126474637e+00  -2.051531230190100530e+00  -1.825655953643916973e+00  -3.487523353728607223e+00  7.443900108337402344e-01
