  v1     v2   v3   v4  v5   v6   t1
0.000000000000000000e+00  0.000000000000000000e+00  -0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00
0.000000000000000000e+00  0.000000000000000000e+00  -0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  9.168386459350585938e-02
-1.188451647758483887e-01  -7.038415223360061646e-02  -6.597395986318588257e-02  -8.285893499851226807e-02  -2.350106537342071533e-01  2.018143609166145325e-02  1.770660877227783203e-01
-2.674367725849151611e-01  -1.953908056020736694e-01  -1.420721858739852905e-01  -2.190716415643692017e-01  -5.336815118789672852e-01  2.904976159334182739e-02  2.385680675506591797e-01
-1.299537420272827148e-01  -3.459382355213165283e-01  1.189090833067893982e-01  -1.545485705137252808e-01  -2.333088964223861694e-01  4.995025321841239929e-02  3.189399242401123047e-01
-2.722815843299031258e-03  -3.887874484062194824e-01  2.787882387638092041e-01  -1.403592526912689209e-01  -9.108011424541473389e-02  1.195546314120292664e-01  3.694500923156738281e-01
8.789709955453872681e-02  -4.003050923347473145e-01  3.303811252117156982e-01  -3.221359848976135254e-02  -2.231462746858596802e-01  1.620506942272186279e-01  4.113819599151611328e-01
2.173906415700912476e-01  -4.186617136001586914e-01  3.622367978096008301e-01  1.103028133511543274e-01  -4.571502506732940674e-01  1.930898427963256836e-01  4.774050712585449219e-01
3.206019997596740723e-01  -4.617410004138946533e-01  4.252834022045135498e-01  2.328295260667800903e-01  -6.052273511886596680e-01  2.100115716457366943e-01  5.459609031677246094e-01
4.056228697299957275e-01  -4.727728962898254395e-01  4.747798442840576172e-01  3.132197260856628418e-01  -6.031660437583923340e-01  2.177294045686721802e-01  5.993080139160156250e-01
3.450434207916259766e-01  -4.725939333438873291e-01  4.809029996395111084e-01  3.333771824836730957e-01  -5.978929996490478516e-01  2.155962139368057251e-01  6.402668952941894531e-01
3.316850066184997559e-01  -4.570367932319641113e-01  4.735143184661865234e-01  3.642725050449371338e-01  -5.883775353431701660e-01  2.079742401838302612e-01  6.960399150848388672e-01
3.682448863983154297e-01  -4.379259645938873291e-01  4.852748215198516846e-01  3.979002535343170166e-01  -5.553489923477172852e-01  2.102752178907394409e-01  7.443900108337402344e-01
4.146094620227813721e-01  -4.338864684104919434e-01  4.803277552127838135e-01  4.121375083923339844e-01  -5.120379924774169922e-01  2.052178829908370972e-01  7.838940620422363281e-01
4.535853564739227295e-01  -4.141236841678619385e-01  4.730157554149627686e-01  4.253441393375396729e-01  -4.626390337944030762e-01  1.969727277755737305e-01  8.295710086822509766e-01
4.892120361328125000e-01  -3.874579966068267822e-01  4.565894007682800293e-01  4.340686500072479248e-01  -3.977324664592742920e-01  1.987463980913162231e-01  8.758120536804199219e-01
5.053060650825500488e-01  -3.641542494297027588e-01  4.373762905597686768e-01  4.286038279533386230e-01  -3.298777937889099121e-01  1.843173801898956299e-01  9.255869388580322266e-01
5.075814723968505859e-01  -3.326693177223205566e-01  4.067477881908416748e-01  4.094051122665405273e-01  -2.612321376800537109e-01  1.745861917734146118e-01  9.664149284362792969e-01
