tif_tot   t1   iter_no
1.214244471981355877e+00  0.000000000000000000e+00  1.000000000000000000e+00
1.163914738136900828e+00  9.168386459350585938e-02  2.000000000000000000e+00
1.130409930130408913e+00  1.770660877227783203e-01  3.000000000000000000e+00
1.116610126509233414e+00  2.385680675506591797e-01  4.000000000000000000e+00
1.081006916383756344e+00  3.189399242401123047e-01  5.000000000000000000e+00
1.074956782466857330e+00  3.694500923156738281e-01  6.000000000000000000e+00
1.049198025857486005e+00  4.113819599151611328e-01  7.000000000000000000e+00
1.066024950218996903e+00  4.774050712585449219e-01  8.000000000000000000e+00
1.042760764621296410e+00  5.459609031677246094e-01  9.000000000000000000e+00
1.023743639552624707e+00  5.993080139160156250e-01  1.000000000000000000e+01
1.010692188888225873e+00  6.402668952941894531e-01  1.100000000000000000e+01
1.000399287811172933e+00  6.960399150848388672e-01  1.200000000000000000e+01
9.909754163278914341e-01  7.443900108337402344e-01  1.300000000000000000e+01
9.822481841452053164e-01  7.838940620422363281e-01  1.400000000000000000e+01
9.738554074138290328e-01  8.295710086822509766e-01  1.500000000000000000e+01
9.636187036640744275e-01  8.758120536804199219e-01  1.600000000000000000e+01
9.521168439693883379e-01  9.255869388580322266e-01  1.700000000000000000e+01
9.409838734365357782e-01  9.664149284362792969e-01  1.800000000000000000e+01
9.280851451482006187e-01  1.007659912109375000e+00  1.900000000000000000e+01
9.136267067152992194e-01  1.045984983444213867e+00  2.000000000000000000e+01
8.956785452029254468e-01  1.083371877670288086e+00  2.100000000000000000e+01
8.726889466468847889e-01  1.126435995101928711e+00  2.200000000000000000e+01
8.525601836233658304e-01  1.173667907714843750e+00  2.300000000000000000e+01
8.350212192857744409e-01  1.211005926132202148e+00  2.400000000000000000e+01
8.180029049940891195e-01  1.247828960418701172e+00  2.500000000000000000e+01
8.008209005220028320e-01  1.288775920867919922e+00  2.600000000000000000e+01
7.842286875857515938e-01  1.327672004699707031e+00  2.700000000000000000e+01
7.679922599390740512e-01  1.366957902908325195e+00  2.800000000000000000e+01
7.524091921859630272e-01  1.410113096237182617e+00  2.900000000000000000e+01
7.345696465499409467e-01  1.453684091567993164e+00  3.000000000000000000e+01
7.151739217895451972e-01  1.502115964889526367e+00  3.100000000000000000e+01
6.939875627499313415e-01  1.542519092559814453e+00  3.200000000000000000e+01
6.756394876786859793e-01  1.578845977783203125e+00  3.300000000000000000e+01
6.577028808265672488e-01  1.619332075119018555e+00  3.400000000000000000e+01
6.395167052848987899e-01  1.663716077804565430e+00  3.500000000000000000e+01
6.220799671345746962e-01  1.704444885253906250e+00  3.600000000000000000e+01
6.066846050372993737e-01  1.741472005844116211e+00  3.700000000000000000e+01
5.905115889456111766e-01  1.776890993118286133e+00  3.800000000000000000e+01
5.758826937571067672e-01  1.814491987228393555e+00  3.900000000000000000e+01
5.608480586191670891e-01  1.852500915527343750e+00  4.000000000000000000e+01
5.466585666650707331e-01  1.885251045227050781e+00  4.100000000000000000e+01
5.298113028653936851e-01  1.937524080276489258e+00  4.200000000000000000e+01
5.154123501181142597e-01  1.974030017852783203e+00  4.300000000000000000e+01
4.999835427765444429e-01  2.014971017837524414e+00  4.400000000000000000e+01
8.086743540054250889e-01  2.831541061401367188e+00  4.500000000000000000e+01
8.090665110862520493e-01  2.884975910186767578e+00  4.600000000000000000e+01
8.090766954542669698e-01  2.913655996322631836e+00  4.700000000000000000e+01
8.044457219384464342e-01  2.944041013717651367e+00  4.800000000000000000e+01
7.944579679894900881e-01  2.977056026458740234e+00  4.900000000000000000e+01
7.798172019609664884e-01  3.009651899337768555e+00  5.000000000000000000e+01
7.626537640701390730e-01  3.058148860931396484e+00  5.100000000000000000e+01
7.464698825136477645e-01  3.097110033035278320e+00  5.200000000000000000e+01
7.338819054966165822e-01  3.121845960617065430e+00  5.300000000000000000e+01
7.226326737068212713e-01  3.147367954254150391e+00  5.400000000000000000e+01
7.107330324332634675e-01  3.174797058105468750e+00  5.500000000000000000e+01
6.977351959665039072e-01  3.208910942077636719e+00  5.600000000000000000e+01
6.844110778703014208e-01  3.243891954421997070e+00  5.700000000000000000e+01
6.708177038741853782e-01  3.273408889770507812e+00  5.800000000000000000e+01
6.574617044637968144e-01  3.304821014404296875e+00  5.900000000000000000e+01
6.436437364765530411e-01  3.334860086441040039e+00  6.000000000000000000e+01
6.291750377504581326e-01  3.368808031082153320e+00  6.100000000000000000e+01
6.153383259049377552e-01  3.404721021652221680e+00  6.200000000000000000e+01
6.016181641489577459e-01  3.436142921447753906e+00  6.300000000000000000e+01
5.864664524914999788e-01  3.471570014953613281e+00  6.400000000000000000e+01
5.719968249327619381e-01  3.503336906433105469e+00  6.500000000000000000e+01
5.596914575981130069e-01  3.533355951309204102e+00  6.600000000000000000e+01
5.447888982418157555e-01  3.567916870117187500e+00  6.700000000000000000e+01
5.324343781883704718e-01  3.606150865554809570e+00  6.800000000000000000e+01
5.212483770294172869e-01  3.636439085006713867e+00  6.900000000000000000e+01
5.101947536816405782e-01  3.664998054504394531e+00  7.000000000000000000e+01
4.991483978715085534e-01  3.700615882873535156e+00  7.100000000000000000e+01
9.689084205134207428e-01  4.518148899078369141e+00  7.200000000000000000e+01
9.685761359292387462e-01  4.560229063034057617e+00  7.300000000000000000e+01
9.686529583604308602e-01  4.589075088500976562e+00  7.400000000000000000e+01
9.656553071403128907e-01  4.620110988616943359e+00  7.500000000000000000e+01
9.576083539351467611e-01  4.650276899337768555e+00  7.600000000000000000e+01
9.428305812383367401e-01  4.690823078155517578e+00  7.700000000000000000e+01
9.248505942498614907e-01  4.729690074920654297e+00  7.800000000000000000e+01
9.094820752417620557e-01  4.762809038162231445e+00  7.900000000000000000e+01
8.953218571211021271e-01  4.799424886703491211e+00  8.000000000000000000e+01
8.838312149017459873e-01  4.828665971755981445e+00  8.100000000000000000e+01
8.720215231537511436e-01  4.859960079193115234e+00  8.200000000000000000e+01
8.584096296514496238e-01  4.895977020263671875e+00  8.300000000000000000e+01
8.452590387575235065e-01  4.927016973495483398e+00  8.400000000000000000e+01
8.336185468235706164e-01  4.956001043319702148e+00  8.500000000000000000e+01
8.209161636639578097e-01  4.987334966659545898e+00  8.600000000000000000e+01
8.078925773627783080e-01  5.014609098434448242e+00  8.700000000000000000e+01
7.949409619802156879e-01  5.050472974777221680e+00  8.800000000000000000e+01
7.796830305634256941e-01  5.088881969451904297e+00  8.900000000000000000e+01
7.647493092415640348e-01  5.119616031646728516e+00  9.000000000000000000e+01
7.516311535655971765e-01  5.149456024169921875e+00  9.100000000000000000e+01
7.377237034966331874e-01  5.181427955627441406e+00  9.200000000000000000e+01
7.227439917472718856e-01  5.209970951080322266e+00  9.300000000000000000e+01
7.061771048653736615e-01  5.248416900634765625e+00  9.400000000000000000e+01
6.909832586332627091e-01  5.283235073089599609e+00  9.500000000000000000e+01
6.743954683768380587e-01  5.319998979568481445e+00  9.600000000000000000e+01
6.590676969822338860e-01  5.353950023651123047e+00  9.700000000000000000e+01
6.427410312000225723e-01  5.391609907150268555e+00  9.800000000000000000e+01
6.297999388670725285e-01  5.419697046279907227e+00  9.900000000000000000e+01
6.162664544123925836e-01  5.453665971755981445e+00  1.000000000000000000e+02
6.009939428926354132e-01  5.489646911621093750e+00  1.010000000000000000e+02
5.862793379903723512e-01  5.517988920211791992e+00  1.020000000000000000e+02
5.711559693834853402e-01  5.558352947235107422e+00  1.030000000000000000e+02
5.552947962253913516e-01  5.602483034133911133e+00  1.040000000000000000e+02
5.411057632255765748e-01  5.631342887878417969e+00  1.050000000000000000e+02
5.284900909132694835e-01  5.668870925903320312e+00  1.060000000000000000e+02
5.147087310020718176e-01  5.704247951507568359e+00  1.070000000000000000e+02
4.998342956674268756e-01  5.751681089401245117e+00  1.080000000000000000e+02
1.020002279955737334e+00  6.579391002655029297e+00  1.090000000000000000e+02
1.019987653346179801e+00  6.629611968994140625e+00  1.100000000000000000e+02
1.019681939353368705e+00  6.659529924392700195e+00  1.110000000000000000e+02
1.015633250068166626e+00  6.688720941543579102e+00  1.120000000000000000e+02
1.004351151288589428e+00  6.726145982742309570e+00  1.130000000000000000e+02
9.900388562895996447e-01  6.762842893600463867e+00  1.140000000000000000e+02
9.728631877380198301e-01  6.803729057312011719e+00  1.150000000000000000e+02
9.560346461234421334e-01  6.843771934509277344e+00  1.160000000000000000e+02
9.408911981002128222e-01  6.883781909942626953e+00  1.170000000000000000e+02
9.259597423341150435e-01  6.919931888580322266e+00  1.180000000000000000e+02
9.122798083112020340e-01  6.953011035919189453e+00  1.190000000000000000e+02
9.008465016811060266e-01  6.981251955032348633e+00  1.200000000000000000e+02
8.868364840708877761e-01  7.014929056167602539e+00  1.210000000000000000e+02
8.729690054223151474e-01  7.046426057815551758e+00  1.220000000000000000e+02
8.591241434253822362e-01  7.079782962799072266e+00  1.230000000000000000e+02
8.454045332990394179e-01  7.110179901123046875e+00  1.240000000000000000e+02
8.333083192125851912e-01  7.141674041748046875e+00  1.250000000000000000e+02
8.184154595399966148e-01  7.176261901855468750e+00  1.260000000000000000e+02
8.041045247147591279e-01  7.206448078155517578e+00  1.270000000000000000e+02
7.895776330204280491e-01  7.241492033004760742e+00  1.280000000000000000e+02
7.750336597480965706e-01  7.277720928192138672e+00  1.290000000000000000e+02
7.584790834273196225e-01  7.313405036926269531e+00  1.300000000000000000e+02
7.426573050437407231e-01  7.346900939941406250e+00  1.310000000000000000e+02
7.267971443883867178e-01  7.377822875976562500e+00  1.320000000000000000e+02
7.116390585436885852e-01  7.409929037094116211e+00  1.330000000000000000e+02
6.953208548546114809e-01  7.447423934936523438e+00  1.340000000000000000e+02
6.800037036905222099e-01  7.483687877655029297e+00  1.350000000000000000e+02
6.634813776403178931e-01  7.523535013198852539e+00  1.360000000000000000e+02
6.460149696409653863e-01  7.563046932220458984e+00  1.370000000000000000e+02
6.281932902656768292e-01  7.598160028457641602e+00  1.380000000000000000e+02
6.115477717676132130e-01  7.632430076599121094e+00  1.390000000000000000e+02
5.962879090294550544e-01  7.669075012207031250e+00  1.400000000000000000e+02
5.808763925487920865e-01  7.703155994415283203e+00  1.410000000000000000e+02
5.675143037148234759e-01  7.733422994613647461e+00  1.420000000000000000e+02
5.516126172553106333e-01  7.771384954452514648e+00  1.430000000000000000e+02
5.373212232903125107e-01  7.808896064758300781e+00  1.440000000000000000e+02
5.228487310542011546e-01  7.847697019577026367e+00  1.450000000000000000e+02
5.104240430232902526e-01  7.879915952682495117e+00  1.460000000000000000e+02
4.972717249935685313e-01  7.912575960159301758e+00  1.470000000000000000e+02
9.334989901065070539e-01  8.727315902709960938e+00  1.480000000000000000e+02
9.337633725987555255e-01  8.777107954025268555e+00  1.490000000000000000e+02
9.335542279567953239e-01  8.809482097625732422e+00  1.500000000000000000e+02
9.275012266683768658e-01  8.839876890182495117e+00  1.510000000000000000e+02
9.158082774281268712e-01  8.877840042114257812e+00  1.520000000000000000e+02
8.983678761345210706e-01  8.916109085083007812e+00  1.530000000000000000e+02
8.809524350566753093e-01  8.951175928115844727e+00  1.540000000000000000e+02
8.670917768144921212e-01  8.989728927612304688e+00  1.550000000000000000e+02
8.547590022196127624e-01  9.022739887237548828e+00  1.560000000000000000e+02
8.426579619362526419e-01  9.054738998413085938e+00  1.570000000000000000e+02
8.305538188697253466e-01  9.082473039627075195e+00  1.580000000000000000e+02
8.183634978156495432e-01  9.118493080139160156e+00  1.590000000000000000e+02
8.043163759821290171e-01  9.151558876037597656e+00  1.600000000000000000e+02
7.925859991594328413e-01  9.181442022323608398e+00  1.610000000000000000e+02
7.801218785363179808e-01  9.210248947143554688e+00  1.620000000000000000e+02
7.671599382003635448e-01  9.240813016891479492e+00  1.630000000000000000e+02
7.533984973700158516e-01  9.272150993347167969e+00  1.640000000000000000e+02
7.393201136623042125e-01  9.307080030441284180e+00  1.650000000000000000e+02
7.248510473890655836e-01  9.338254928588867188e+00  1.660000000000000000e+02
7.098396759096303743e-01  9.367634057998657227e+00  1.670000000000000000e+02
6.950311499611807609e-01  9.402482032775878906e+00  1.680000000000000000e+02
6.801581293737670730e-01  9.437432050704956055e+00  1.690000000000000000e+02
6.661488792142257198e-01  9.467195034027099609e+00  1.700000000000000000e+02
6.524332848573830557e-01  9.502449989318847656e+00  1.710000000000000000e+02
6.364209030860162875e-01  9.541725873947143555e+00  1.720000000000000000e+02
