  q1     q2   q3   q4  q5   q6   t1
-6.997035185443323257e-01  -1.500259224568502248e+00  1.999847412109375000e+00  -2.269795242940084279e+00  -1.569955650960103810e+00  -4.020035568867818654e+00  0.000000000000000000e+00
-6.996791998492639664e-01  -1.500259224568502248e+00  1.999847412109375000e+00  -2.269783322011129201e+00  -1.569967571889058888e+00  -4.019975487385885060e+00  9.168386459350585938e-02
-7.006142775165002945e-01  -1.502261463795797169e+00  2.002087593078613281e+00  -2.271126095448629201e+00  -1.574943367634908498e+00  -4.016489330922262013e+00  1.770660877227783203e-01
-7.043550650226038101e-01  -1.514189068471090138e+00  2.013337135314941406e+00  -2.277085129414693654e+00  -1.598537747059957326e+00  -3.998841349278585255e+00  2.385680675506591797e-01
-6.873667875873010757e-01  -1.542455975209371388e+00  2.041072368621826172e+00  -2.273128334675924123e+00  -1.640451256428853810e+00  -3.951194111500875294e+00  3.189399242401123047e-01
-6.661694685565393570e-01  -1.563831154500142873e+00  2.062313556671142578e+00  -2.258093659077779591e+00  -1.672377888356344044e+00  -3.910603348408834279e+00  3.694500923156738281e-01
-6.523826758014124039e-01  -1.579200092946187794e+00  2.077181816101074219e+00  -2.243933502827779591e+00  -1.697302643452779591e+00  -3.879944864903585255e+00  4.113819599151611328e-01
-6.333921591388147476e-01  -1.604063812886373341e+00  2.101658344268798828e+00  -2.219725433980123341e+00  -1.735438648854390919e+00  -3.828188006077901662e+00  4.774050712585449219e-01
-6.119793097125452164e-01  -1.633459393178121388e+00  2.130065441131591797e+00  -2.188874069844381154e+00  -1.777218643818990529e+00  -3.765193287526265919e+00  5.459609031677246094e-01
-5.929163138019006851e-01  -1.656453911458150685e+00  2.152553558349609375e+00  -2.161487881337301076e+00  -1.808137241994039357e+00  -3.713544193898336232e+00  5.993080139160156250e-01
-5.794528166400354507e-01  -1.673045937214986623e+00  2.168261051177978516e+00  -2.141032044087545216e+00  -1.830052200947896779e+00  -3.676775042210714162e+00  6.402668952941894531e-01
-5.633395353900354507e-01  -1.695118252431051076e+00  2.189815521240234375e+00  -2.112302128468648732e+00  -1.859386746083394826e+00  -3.627090756093160451e+00  6.960399150848388672e-01
-5.504635016070764664e-01  -1.713114086781637013e+00  2.206972599029541016e+00  -2.088140312825338185e+00  -1.883327309285299123e+00  -3.585433308278219044e+00  7.443900108337402344e-01
-5.390856901751917007e-01  -1.727392975484029591e+00  2.220751285552978516e+00  -2.067947212849752248e+00  -1.901369396840230763e+00  -3.550916020070211232e+00  7.838940620422363281e-01
-5.263775030719202164e-01  -1.740989033375875294e+00  2.233619213104248047e+00  -2.047286335621969044e+00  -1.917097393666402638e+00  -3.517129961644307912e+00  8.295710086822509766e-01
-5.101683775531213882e-01  -1.756323162709371388e+00  2.248224735260009766e+00  -2.023519341145650685e+00  -1.933269325886861623e+00  -3.476861778889791310e+00  8.758120536804199219e-01
-4.924004713641565445e-01  -1.770375076924459279e+00  2.261464595794677734e+00  -2.000710789357320607e+00  -1.946335617695943654e+00  -3.437756125126973927e+00  9.255869388580322266e-01
-4.772103468524377945e-01  -1.780901734028951466e+00  2.271493434906005859e+00  -1.982039753590719044e+00  -1.954679314290181935e+00  -3.406437222157613576e+00  9.664149284362792969e-01
